country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.2192104472058765,2.7551879672482027,0.3049350181836164,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.1632347157562277,2.62522089909747,0.16366025468353984,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.1051647625224785,2.5000557917876134,0.0019240690776856084,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.0373119481546387,2.368302504969995,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.9427066504848646,2.2034377836329906,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8230374527721667,2.00626469180703,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7032465006083843,1.8152473248912824,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6077487803932273,1.67241518063734,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.5391817931651038,1.5865132503836177,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.489819470954258,1.547132776983568,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.44914283818206713,1.535801486710306,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.41595326709973995,1.5500422386538946,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.39345316360671245,1.598105468743213,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.38282138248506037,1.686835719896684,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.3731175649652345,1.7931811259426158,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.3514642926241302,1.8791208408555045,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.32565459169171196,1.9559901842225598,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.32464008107508385,2.122565479448174,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.3696359178498535,2.4870937238066477,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.45898399480324914,3.066478631681746,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.5768926181166132,3.7966196240750096,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.7171854898324397,4.623784161900085,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.8669852713560078,5.450509406104862,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.000639084332936,6.137470869198275,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.0670998202642417,6.488994220031432,0,ATG
Antigua and Barbuda,ATG,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.0383167857749802,6.422332681545147,0,ATG
