country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.6135759127492677,3.005351997004005,0.6511357090244927,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.9101566760991917,3.381028991038217,0.8826528891607299,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,2.048432638843605,3.3907781806263944,1.0338225728497465,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,2.147683024810548,3.4437835932794645,1.1089348207936338,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,2.171036903195279,3.3890945342117393,1.1937313346415697,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.2266357960051035,3.3427398118124554,1.3296454372110096,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.2958827438143916,3.33646015312088,1.4395323895512657,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.3669236843471015,3.309858955812526,1.567332495692946,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.38080371066272,3.2583075053369517,1.6620341854164706,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,2.376719209485095,3.1597276462272967,1.7047629692347286,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,2.335506498597064,3.0520510585940874,1.7339048658208545,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,2.3004972380104056,2.9216504247340174,1.7420898734732964,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,2.2427544749411217,2.8021542396811716,1.7371944418296077,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,2.163522170989581,2.66927107078139,1.7194051893546696,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,2.080914647628912,2.528949030360999,1.6688323740982633,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.99582311434384,2.394407685768806,1.6376047191421357,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.9219294084855125,2.275490435838374,1.5910059649923527,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.837976062413621,2.149086112639987,1.5440669150992414,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.753200243772567,2.0430123719800295,1.486859929253271,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.6815285612603668,1.9482393509035605,1.4363728942948495,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.618426406244803,1.8613784231963622,1.3917433580763645,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.5501164031206103,1.7731847407033714,1.3395536840733604,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.4688144196846848,1.6773726962225695,1.2758413355174223,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.384281513379415,1.576525401861453,1.2025732736817651,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.2846331641202946,1.4636268804930967,1.1197884966669192,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.1927412583759387,1.3537011662814862,1.0397795892712158,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.111094772969038,1.2637411957486109,0.9663036797275006,AZE
Azerbaijan,AZE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.0372514826693884,1.181927062518522,0.9013360393865061,AZE
