country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.52988761187033,2.9468812053842397,0.6221786465616583,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.5449093838458872,2.920776540717569,0.6051522207099488,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.5631484300820595,2.949452918796038,0.5914597668622517,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.4553645829504025,2.7621808880602816,0.5678320790705211,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.3174150545816932,2.4770193615014464,0.5209474292202549,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.142737486378886,2.171821899165483,0.4309775602016867,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9894806511111985,1.9186629274738847,0.35949205905152787,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.8568392663443047,1.717390315882044,0.2801157867764999,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7601178310471786,1.5750899476898397,0.2295467716390324,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6876235303958386,1.4890596606493116,0.20424199711365715,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6649782920857602,1.4506835751024834,0.1837690954201255,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6903089114555966,1.5333802089573352,0.18447074752941361,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.735716768920521,1.6564406962691451,0.19980030894899034,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.84743091119311,1.8411194753520257,0.23274129438264893,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.0023064083819844,2.075630614194836,0.29366183693646064,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.131786985309785,2.3191940259871564,0.36719480456367076,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.2312408308453564,2.479541909338591,0.4197524771443627,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.264447780971796,2.5022435744739617,0.42769202274452045,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.3172711261040497,2.595274483743248,0.4740025305846028,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.3949331688508402,2.6323802556670817,0.5321375847089502,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.4397472984565927,2.640199206333918,0.589097442222976,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.4736848778510883,2.6939314431164902,0.6270171573338384,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.443989792124466,2.6246992392619837,0.6433665311750963,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.4090075596303568,2.469603869125363,0.6294954931449339,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.3203793112709508,2.3237474318811433,0.6124152188104638,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.273962593280317,2.2511418914303816,0.6091902579888017,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.3556072040634795,2.2963759082377466,0.6544081466618307,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,1.5888282014787014,2.5590186117446763,0.8039294410578808,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,1.9839329490342859,3.0149017834548757,1.147313729122528,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,2.473234464472162,3.5876061651256017,1.561790674361552,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,2.8264470204844256,3.901976671443152,1.916630692166968,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,2.998874346926851,3.980146483612328,2.1371569382551945,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,2.894068336108749,3.741578204823465,2.170964869179409,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,2.648271989811021,3.3575814290508315,2.038686582709994,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,2.3185619276235565,2.90322382761654,1.8028624709934369,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,1.9432765528424387,2.419501356075835,1.5205787576105185,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.6122319078454082,2.0076180967326867,1.2624246422375303,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.3548884765051628,1.686196158968173,1.052957048091529,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.1570181700666984,1.4592262918292571,0.8992386109434134,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.997828324739438,1.2596786847005483,0.7701889705742091,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,0.8369816553728823,1.0735735517417302,0.6319859971538709,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,0.6661387879833098,0.876965745610515,0.4835309658489882,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,0.5051247334502722,0.696463294382685,0.34729412740144994,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,0.3790587354455797,0.5508667217156074,0.24105776699645518,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,0.2963445214424259,0.45966586901998047,0.16995730484080515,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,0.267329828272316,0.431081624360135,0.1414809559958356,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,0.2838966816659442,0.46619017917953254,0.1448276308770341,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,0.3645812101118273,0.5982186376302099,0.1854143715519341,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,0.5231253630383348,0.8220904688382001,0.2836791755171117,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,0.7517061489697721,1.1657259704750398,0.42656133554297343,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.0144016431765317,1.52848989296762,0.6028624435373672,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,1.2476851459280613,1.8720832464501636,0.7693710619633998,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,1.4293874646374125,2.083936652422251,0.8927944356520451,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,1.484107124328613,2.1398256243226528,0.9525390997943194,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,1.4461943277840013,2.053806372760852,0.9433469209093001,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,1.3631587747655212,1.9272176341949796,0.890508052501157,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,1.2293087275259018,1.7583792505388547,0.8113030873220615,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,1.086809518702567,1.568522596120772,0.7042926678179277,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,0.9445039809315009,1.3784803311635248,0.600949239973703,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,0.8320592836493091,1.2365999072350113,0.5132126761268749,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,0.7819463612862981,1.1774550396506256,0.4714455558386664,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.787335711273726,1.1909146035068296,0.4733047845709814,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.8449470497556463,1.2714385041025646,0.5136219178733503,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.9715878518091381,1.4194109425174197,0.603059861882124,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,1.1570461266921557,1.6614055919053357,0.7451012121245972,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,1.4094540961673818,1.9674817532659035,0.9400282792369763,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,1.6790645777523012,2.2774878878095635,1.1662134121619703,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,1.9334761884504756,2.562705821726735,1.3999066305190202,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,2.1120094115071177,2.7270255574701388,1.5722591659176262,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,2.173134010948438,2.7577980838972365,1.6568985747233311,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,2.1395725737839837,2.67500878251115,1.6701021710925514,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,2.025471569320077,2.4899930680658344,1.609696756923718,BEN
Benin,BEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,1.910558215208925,2.3127506180008552,1.5398086634960138,BEN
