country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.9608686706777367,2.5166855192652857,1.425262775498349,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.754652439968211,2.233383635779258,1.291114091946687,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.5744533296319947,1.9947022967851784,1.154204362478811,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.4191668001524593,1.8260870940595728,1.0122465062453458,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.288836631918886,1.6847374512975892,0.8929358125401827,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.1803208891954236,1.5657448659494861,0.794896912441361,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.0934359537200156,1.478099393930827,0.7087725135092042,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0312762971586142,1.4153897197327556,0.6471628745844729,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.9959298382309816,1.3680403152205671,0.623819361241396,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9822716713318642,1.336608253894393,0.6279350887693353,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9788910583493371,1.3194158944769,0.6383662222217741,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.978234032280183,1.3056126488926127,0.6508554156677533,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9786860975346147,1.2867803582160164,0.6705918368532129,BFA
Burkina Faso,BFA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.9847542316676795,1.2701608184550444,0.6993476448803146,BFA
