country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.2605658208117516,2.119454323884004,0.646483373487762,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.1029685371933333,1.8952455108304638,0.5329616648271185,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,0.943059490300883,1.6775271943575474,0.4371296518447718,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,0.8475855755401884,1.5256357999879044,0.3754223956140391,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,0.7954341512834492,1.467236407621541,0.3351732703394424,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,0.7962603164316981,1.4668828180089701,0.32734159187774714,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,0.9180211694413096,1.6405378473768666,0.4003806912604394,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.226859676134406,2.106361712682662,0.5959481873923482,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.7737590217761394,2.807635923143286,0.9587028971603752,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,2.442876436579638,3.6080695987788736,1.4877649970301565,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,3.1588217211799763,4.338840835835322,2.126095337748663,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,3.6631857707766,4.8359976042919515,2.6483000726510233,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,3.944802486550903,4.966165114877921,2.993716727452338,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,3.9538814519408696,4.853153848180582,3.1560001753137255,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,3.8619065877899397,4.589609955090767,3.1757502721270012,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,3.6658910744282425,4.2678057289284554,3.0982846354985254,BGD
Bangladesh,BGD,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,3.4620531242186625,3.9554796497891567,2.9886795301041094,BGD
