country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.9075004525841364,3.042370317161946,1.0614843391045272,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.9197973225410625,3.0055177539952824,1.0297320790683389,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,1.757776297072747,2.776127992121535,0.9676263171121005,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.5605247519004548,2.4397449857456723,0.8736168769235815,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.3751323691646453,2.16563051406382,0.7695644898283106,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.2154061538800434,1.927143900557619,0.6731794794169234,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.0850548091679453,1.7303005876662692,0.5981343451005453,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,0.9956623178423974,1.5861396448783704,0.5421820744697927,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,0.9191480648306294,1.4663379667022134,0.49651439095961275,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,0.8957797440079103,1.4270252162073178,0.4753310776408852,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,0.9623880735836383,1.5317308132030305,0.5315557814321534,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.171194886897132,1.805701922186688,0.6853665853591472,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5508052922863778,2.269932689070813,0.9675475633079526,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,2.0738460136721186,2.881898237823584,1.3900803007407607,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,2.661452119531618,3.5096048226265046,1.9047335305152904,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,3.1664496812059455,4.016669914173513,2.405657603764377,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,3.523196528958727,4.333024429548017,2.8034376351800625,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,3.697016679422315,4.411209361669302,3.0510055925540414,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,3.7368738500549092,4.346176811420671,3.172459171875449,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,3.698825669302397,4.207244290342795,3.21939178175854,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,3.564985563000536,3.99264350019834,3.1612398006039166,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,3.376041856517751,3.7284910485060374,3.0362125290047848,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,3.1143054672971062,3.405184561180304,2.835869829231408,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,2.814535812367349,3.0534987941856127,2.5851811873773665,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,2.5350534540844643,2.7344482389916718,2.3445284463501403,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,2.289828465892284,2.4565778984374496,2.1288619389095387,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,2.0912049198639244,2.234036887753507,1.9514555703213021,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.9262103158317536,2.0511435359642376,1.8062408251665285,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.793457891531302,1.9037758793583208,1.686221174255715,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.681642825346544,1.7800427543686512,1.5846082373565191,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.5827712747248521,1.6730197839714434,1.4941536295691014,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.491589204518503,1.574620451424133,1.4107768636573925,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.409799222127159,1.4862446981939619,1.335752371013349,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.3521696375258105,1.423246396944892,1.2828891173189791,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.315760636232995,1.383186332347315,1.2499831384854263,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.2980287970456519,1.3631504973440105,1.234310233696317,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.2940013716498366,1.3562197513821972,1.2325339995261604,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.2952632369915404,1.3564536847251862,1.2354660845076706,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.3026923083788202,1.36224962762416,1.2444374823570417,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.3086881173142175,1.3666498953444237,1.2520980613238475,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.309443760628754,1.366174623914237,1.2539126855793703,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.3045035997819816,1.3596565178128304,1.250477229673984,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.293083950882576,1.3459406644759297,1.2415307872017327,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.27525803860413,1.3262452430054468,1.2252567904763674,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.2502924811420366,1.2995075809595666,1.2020146124432112,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.2199029510426869,1.2670311222475223,1.1733582545374492,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,1.187271183214793,1.2325414342924843,1.1428365220105705,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,1.1543083063957162,1.1984659700288482,1.1111225619013594,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,1.1207414732406955,1.1630888086928797,1.0791366775705151,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,1.0899465364174032,1.1311772027115137,1.0495765308305123,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,1.0639951322241314,1.1042445122971876,1.0247971548118924,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,1.0444239211666022,1.0838481151142276,1.0057284615998188,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,1.0296616108233168,1.0683422601983354,0.9915347402481336,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,1.0201533664546703,1.0586797453488406,0.982331427238834,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,1.016104577530453,1.0542696095869462,0.9784856104445367,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.0145662771949706,1.0528827786788248,0.9771920778220874,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.0171271803630486,1.0550996582380265,0.9796433827315293,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.0189481625273986,1.0569721570626043,0.9814414130634452,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.0213164938792982,1.0595235745621785,0.9838015533953806,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.022921942388381,1.0610218466773866,0.9855092741322309,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,1.0221888101097925,1.0600893412893424,0.9849947377326338,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.0194841023501129,1.0570390945483323,0.9823329558260756,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.0149221020910593,1.0526979550788493,0.9780497419963078,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.0114140439684016,1.0490052749504286,0.9743262870969994,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.006883535902694,1.044106876235483,0.9703267101707705,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.003338055255517,1.0407592175370768,0.9665927851519441,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.0008124862470422,1.0377752420314188,0.964438468042544,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,0.9964219103677833,1.0334165688307781,0.9600123062304471,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,0.9933495152277445,1.030350718474828,0.9570149392365643,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,0.989553802242431,1.0264991506369134,0.9532764319845173,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9869643919375363,1.0237014351429385,0.9508870682082335,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,0.9827580207862124,1.0196392986163691,0.9465469475360967,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,0.9796761223129048,1.0163409666691217,0.9437533903636837,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,0.97667274037039,1.013384643700188,0.9405309284433617,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,0.973796529283514,1.0106859046061953,0.9375327540337463,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,0.9717525189863901,1.0084719064822458,0.9355133209219942,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,0.9682236246869697,1.005062389043111,0.9320633897932075,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,0.9658095055770546,1.0030447580219868,0.9292690318764695,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,0.9655000648186989,1.0024562908542394,0.9292285535495602,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,0.9651306907276915,1.0022157050406613,0.9287353869031192,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.9648708418240309,1.00233729816454,0.928330615345894,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.9641883481515503,1.0017566249013585,0.9273283840627979,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.9622968170933225,0.9998695511056446,0.9254339289244915,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9592186953264166,0.9967328412535772,0.9224144322382263,BLR
Belarus,BLR,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.9540318027508937,0.9918183994877218,0.9169818934645199,BLR
