country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,2.1699587190809315,3.1791007648304013,1.351475450749528,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.99837474816173,2.8721491805203097,1.2813702075803732,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.838442322550841,2.6020912342508713,1.2059949342474967,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.6892065292627907,2.3634271200779695,1.1269614760071762,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.568330380560594,2.1729464236359615,1.0611961897837525,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.4916878021880113,2.04574635969798,1.0241519899427147,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.4471079837886176,1.9642940312242643,1.0080481553194933,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.411084456719726,1.8983477388590402,0.9952676123760976,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.3759073008395608,1.8369965077773442,0.980688189588674,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3519432175848847,1.791206094435597,0.973762187643981,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.341013545143539,1.7625298869511816,0.9764358718183321,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.33371311860704,1.739641357222965,0.9810869998282218,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.328674947087366,1.72044404553443,0.9869297935744074,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.336246469761237,1.7163268964431224,1.0031768099483613,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.3608273634888204,1.731910238054418,1.0339537086947823,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.3898685944037443,1.7525368618749624,1.0687413460255677,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.4035338904404009,1.755530296439116,1.0904486908997373,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.393988496195489,1.7321913676269718,1.0920740452871092,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.3672533339197455,1.689792796432278,1.0784571189585546,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.3323454839322635,1.63907225645202,1.0570075846028322,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.297955611349899,1.5901572056888047,1.035056885791883,BOL
Bolivia,BOL,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.2817538633992407,1.5627270069924988,1.0282848290159976,BOL
