country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-04,3.4154740791408615,4.531560828973676,2.4553640743998697,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-05,3.6487913822597706,4.636905373976236,2.7649108454172917,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,3.5312282523982588,4.369545118297328,2.7694835697315785,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,3.479645630279713,4.1794477309465234,2.8262045068855564,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,3.4021655424689876,3.9820135484886134,2.867370517011439,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,3.4167938240134275,3.9339891052932248,2.9366424219840557,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,3.538474436590598,3.9844750989869526,3.1186049214036062,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,3.741237050072316,4.131260581198875,3.368080702690482,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,3.7709460143653826,4.111801128076155,3.4465074156088495,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,3.5924273839460272,3.8684115601437004,3.326521677434575,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,3.1617624260056743,3.383619716307152,2.945319959815728,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,2.666914463900733,2.84151533049355,2.497776099966486,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,2.2329805649512777,2.372840830438672,2.0970441263102204,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.9276538908436076,2.0437045075766576,1.8149501891598259,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.7428876455625664,1.843710167917563,1.6460685833866369,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.6328862616333202,1.723237980724712,1.5449349789418272,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.5723333375930688,1.6556960911066663,1.4909179780170598,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.5467199777779375,1.6245356244339793,1.4712537589854673,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.5690079557091303,1.6440084116402327,1.497213499886154,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.635291132297359,1.7070016982387672,1.5651607214572965,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.7024055205136694,1.7732462393390853,1.6330597496012251,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.734775033888563,1.800936506922147,1.6698350304284093,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.7190735044370518,1.7819559387562824,1.6571637329033495,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.6824074959965876,1.7410334583660836,1.6241588474069084,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.6477453392727437,1.7020786817718085,1.5941238451610553,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.6229364291352597,1.67368054747994,1.5729752416752438,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.6065807857997305,1.6542977063904931,1.5595526986406816,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.5721075891148035,1.6171793034965236,1.5280017124242304,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.4986941561327485,1.5405139671074284,1.4579145530205566,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.3961160797757106,1.4342500904116067,1.3584658432962649,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.2912585909226149,1.3266828091618246,1.2563072334977885,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.2117802171024434,1.244597886584788,1.17939507263403,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.1769468747049396,1.2081721098625287,1.1461249037492063,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.1884905092935656,1.219000736811861,1.1580412979852488,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.2251930098531045,1.25607103891029,1.1946940408813322,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.2663220184757058,1.2970838527911162,1.2359243378117377,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.2935028681131824,1.324173718540713,1.2635452596693535,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.2950116910570635,1.324534439947016,1.2656484580572585,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.2688394901200608,1.2974071487783074,1.2405855355919624,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.2312043083388595,1.2587535076382395,1.2039870135446988,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2003481020264097,1.226699904013842,1.1742785338520054,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.1973071099473014,1.2229939572453716,1.1718480732741485,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.239746809479493,1.2652950567519257,1.2144555828191168,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.3199106633097144,1.3458120382182326,1.2942575371334102,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.4131731880139267,1.4394034196391656,1.3871808696721826,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.4844841684339773,1.5106276683410962,1.458565761586356,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.5046207507345395,1.5299213911418252,1.4795281825911806,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.4786930606526782,1.5027243872608333,1.4548527962080058,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,1.4398628130108495,1.4626109364457434,1.417251196162256,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,1.4063828545729442,1.4279215759252484,1.385005580775441,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,1.386918568283034,1.40741809826743,1.3665673737773343,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,1.3743438961104373,1.394073694921893,1.3547527881970143,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,1.3570683009735716,1.375900169683096,1.3383644247709987,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,1.3393747835549292,1.357477085688653,1.3213715895894214,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,1.328237811024532,1.34572610815355,1.3108588967251564,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,1.328456788104114,1.3452908432796953,1.3117272734502032,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,1.3263443151204166,1.3427228474447779,1.3100649154627377,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.3057503721708568,1.3215125372396597,1.2900814795688849,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.2611342235234413,1.2761061760640815,1.2462494114236464,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.2122276163662298,1.2265372801167542,1.1980007684060352,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.1775412296698549,1.191305514966229,1.163855829323207,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.1732490110234453,1.1866466183317763,1.1599264249913868,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,1.1953417338113848,1.2086172387146157,1.1821385386164271,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.2316978745901024,1.244937666787214,1.2185278928458927,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.2658404916886468,1.2790392906921944,1.252709210840567,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.2915267641219537,1.3045827060860495,1.278535582814719,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.3059555297652325,1.3187494808211826,1.293223088682381,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.3119347585843357,1.3244314403258808,1.2994965019277147,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.3133176353110032,1.3254775956579037,1.3012101126201105,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,1.3123337757446754,1.3241197843205945,1.3005997340983038,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.3095941274059364,1.3210316399226942,1.2982056623891334,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.2984592946403652,1.3095282604668785,1.2874366650341091,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,1.271399275745206,1.2819995103565982,1.2608424445246758,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,1.2270287310311372,1.2371947178006066,1.2169041089883261,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,1.1765326209066647,1.1862277365457659,1.166876742405008,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,1.139047940936484,1.148354716048798,1.1297785137573366,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,1.1282800233579444,1.1373880012968165,1.1192081579617397,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,1.1448624513441277,1.1539022688379035,1.1358576956800646,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,1.176284720824762,1.1852960238970143,1.1673073319334524,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,1.1974534569605422,1.2064393687772164,1.1885006748503948,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,1.1941117349618862,1.2029413196559626,1.1853142285353153,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,1.178389007344931,1.186991862458328,1.1698170119390223,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,1.1620664099733935,1.1704559135746608,1.1537066678233108,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,1.1599076867546323,1.168142400668791,1.151701701256014,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,1.168303547339976,1.176425976176832,1.1602088699433022,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,1.1711144285881143,1.179117117004575,1.163142453567541,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,1.1611963166487225,1.169037621707645,1.1533810361218686,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,1.1300258966527843,1.1376346498913497,1.1224423233512562,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,1.083650604173394,1.09099240149494,1.0763332536867742,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,1.0329945725484053,1.040054612888627,1.025958246534735,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.9881902929413677,0.9950234923459486,0.9813803147535932,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.9559750287499756,0.962656352668483,0.9493166525802672,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.9400922267032518,0.9467136425184719,0.9334937291284549,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,0.9417716769046133,0.9484427574888792,0.9351238177099452,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,0.9545894950712769,0.961334418777306,0.9478679911376099,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,0.9764107925052469,0.9832744366122845,0.9695708583085144,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,1.0043706133326722,1.0113584706045704,0.997406648602625,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,1.0410218916891398,1.0481790520124659,1.033896203422785,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,1.0856382909645999,1.0929501895279725,1.0783505966051932,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,1.1330068072411263,1.1404460405653853,1.1255915829965637,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,1.1689726442716915,1.1764677029093598,1.161501208372868,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,1.1848279544055518,1.1923100892419687,1.17736904698499,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,1.179644478871777,1.1869805739559744,1.1723308125005059,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,1.1699991556843883,1.1771757866930017,1.1628441667752467,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,1.1716106084707005,1.1786622957845794,1.1645797886855125,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,1.18360952427309,1.1905775451711131,1.1766616734133823,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,1.189004529605137,1.1958829864773632,1.182145639386599,BRA
Brazil,BRA,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-19,1.1780729714708649,1.1848029369926771,1.171361911395579,BRA
