country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.9787956901154786,2.8064698277496674,0.07616275997603814,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8613584733788078,2.4206490533165006,0.09486779686601984,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.7061312569060119,2.1531520910576445,0.056782680754313974,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6049690894571802,1.9639777482162037,0.02807236112317105,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.553441306539499,1.9301764932139631,0.02061698159492653,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6197319726857179,2.20794525561752,0.019150701466565206,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6648786874119098,2.4534689335153006,0.01897483682943738,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7322917154265973,2.6534001414013706,0.023056038514369315,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8713766182876629,2.9709376986814435,0.032392477984970136,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.9695319902976812,3.22682775887427,0.04474147731524644,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.0869539938547326,3.6264122920091357,0.05302313372432968,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.1919727274244147,3.827607710086295,0.07098960106191494,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.450511182033829,4.389985655016499,0.14274134325138288,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.9280153106317528,5.096665639809358,0.28266219470797577,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,2.588656686904177,6.070174526467026,0.5645636276573475,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,3.265745428810863,6.743669735832165,1.0237924678030619,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,3.6721698917242263,6.693702833536041,1.399325716440099,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,3.634070313694436,6.356183823125307,1.639796458763485,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,3.330600333839517,5.505188452548372,1.6770868092920708,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,2.921788076286189,4.655343784629433,1.5836250068377358,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,2.5330916129679495,3.9251807058503805,1.4353819426774945,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,2.216380167814064,3.342986539834838,1.2972645311896183,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.947435963865074,2.880919893647,1.1799239265030805,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.750214985673134,2.5828808956123828,1.0791170489161042,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.622155794819008,2.3824548213791217,1.011983373762583,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.5425922883812107,2.2255342190828746,0.9738407992310975,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.4376382926433464,2.0621516629998276,0.9229594309770345,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.317939861748925,1.8920273710172075,0.8476998032625547,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.2002891115047625,1.7343372086344693,0.7715931623864689,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.1494513582634025,1.6435782837581316,0.738776621664914,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.1809182955885045,1.661291168850166,0.7771036209878235,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.3152584845254303,1.8138808747630775,0.8971637378233326,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.5166932412237388,2.037145644238019,1.0738423041690783,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.6945940407199849,2.2364709001084893,1.2379824282070246,CAF
Central African Republic,CAF,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.7962089671677093,2.3418881516896195,1.342469340788076,CAF
