country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-16,3.282953170148137,7.626050902894601,0.757207011165901,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-17,3.052272118559257,6.609355301716502,0.8593993972966681,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-18,2.8006526634075484,5.71296965838285,0.9186034738430907,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-19,2.5889179976579766,5.009492346406911,0.960930033641352,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-20,2.421233493902629,4.47064468596463,0.9950100358730634,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-21,2.2786413893883073,4.039819453161586,1.0173316647762343,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-22,2.1416242462159683,3.669700751374722,1.0213131998137133,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-23,2.0355634252368757,3.3799436644030014,1.0288686290556766,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-24,1.9959154135505532,3.2054765760761685,1.070112350182383,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-25,2.027624285485352,3.141367532633791,1.1552390895959013,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,2.0968813071878603,3.134654497863554,1.2655769241137216,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,2.2129023232562037,3.1883250864595896,1.4136801638711383,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,2.4081320268887687,3.33458604260158,1.6307852500639588,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,2.6673501941201576,3.548980406927449,1.9101628578917484,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,2.9070419610892957,3.7314572115874425,2.1843265179235614,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,3.0623424687579544,3.811446415966276,2.3942127575959686,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,3.1385826496757567,3.802870955950025,2.5372773062443463,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,3.1633945032018898,3.743784735208495,2.6312775934041284,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,3.150397027890874,3.6531842624060915,2.6843627606380767,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,3.1358931718248426,3.5712130011833083,2.728505075005229,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,3.1471210188388854,3.525917773008318,2.7895716063376352,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,3.168223478911352,3.4986975985818636,2.847547486766461,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,3.1536537126361663,3.5066642198471745,2.800643205425158,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,3.0674337071685085,3.431069754125809,2.703797660211208,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.9188252874613867,3.252600328554453,2.5850502463683203,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.7423818361542773,3.037310504940357,2.447453167368198,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,2.5725322550717657,2.8512945812757815,2.29376992886775,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,2.4231655883169854,2.6944587790232166,2.151872397610754,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,2.2903539882854678,2.5414480806758353,2.0392598958951003,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,2.1666808947521163,2.3893253805709014,1.9440364089333313,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,2.048547832199124,2.251151974645968,1.8459436897522798,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.935861751287409,2.1265198524051883,1.7452036501696295,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.829488385864213,2.0050578309327167,1.6539189407957096,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.7309816533136397,1.8885850387458278,1.5733782678814516,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.64226168973716,1.7902280639159966,1.4942953155583234,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.561605957457257,1.7100164435452436,1.4131954713692703,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.4848876111727043,1.633082163449633,1.3366930588957755,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.4095643562220204,1.5514118630982345,1.2677168493458062,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3366251943279237,1.4704293350727176,1.2028210535831299,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.2690460359920066,1.3978069599136327,1.1402851120703805,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.208337023454091,1.3334332133467515,1.0832408335614307,CAN
Canada,CAN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.154535641063418,1.275283366779954,1.033787915346882,CAN
