region,date,median_R_mean,median_R_highHPD,median_R_lowHPD
AG,2020-02-24,1.34,2.38,0.59
AG,2020-02-25,1.46,2.78,0.57
AG,2020-02-26,1.59,3.16,0.56
AG,2020-02-27,1.6,3.1,0.62
AG,2020-02-28,1.86,3.37,0.8
AG,2020-02-29,2.14,3.61,1.04
AG,2020-03-01,2.42,3.92,1.26
AG,2020-03-02,2.58,4.03,1.45
AG,2020-03-03,2.64,3.97,1.63
AG,2020-03-04,2.74,3.92,1.77
AG,2020-03-05,2.76,3.79,1.9
AG,2020-03-06,2.69,3.59,1.93
AG,2020-03-07,2.6,3.36,1.92
AG,2020-03-08,2.4,3.06,1.81
AG,2020-03-09,2.16,2.72,1.66
AG,2020-03-10,1.97,2.45,1.54
AG,2020-03-11,1.81,2.24,1.43
AG,2020-03-12,1.7,2.08,1.36
AG,2020-03-13,1.62,1.96,1.31
AG,2020-03-14,1.54,1.85,1.26
AG,2020-03-15,1.47,1.77,1.2
AG,2020-03-16,1.4,1.67,1.15
AG,2020-03-17,1.32,1.58,1.09
AG,2020-03-18,1.25,1.49,1.04
AG,2020-03-19,1.2,1.42,0.99
AG,2020-03-20,1.15,1.37,0.96
AG,2020-03-21,1.1,1.31,0.92
AG,2020-03-22,1.05,1.25,0.87
AG,2020-03-23,0.99,1.18,0.82
AG,2020-03-24,0.93,1.12,0.77
AG,2020-03-25,0.88,1.06,0.72
AG,2020-03-26,0.84,1.01,0.68
AG,2020-03-27,0.8,0.97,0.64
AG,2020-03-28,0.77,0.94,0.62
AG,2020-03-29,0.75,0.92,0.6
AG,2020-03-30,0.73,0.9,0.57
AG,2020-03-31,0.7,0.87,0.54
AG,2020-04-01,0.67,0.86,0.52
AG,2020-04-02,0.66,0.85,0.5
AG,2020-04-03,0.66,0.85,0.49
AG,2020-04-04,0.67,0.87,0.49
AG,2020-04-05,0.68,0.89,0.5
AG,2020-04-06,0.7,0.92,0.5
AG,2020-04-07,0.71,0.94,0.51
AG,2020-04-08,0.72,0.97,0.51
AG,2020-04-09,0.74,1,0.51
AG,2020-04-10,0.77,1.05,0.54
AG,2020-04-11,0.81,1.1,0.56
AG,2020-04-12,0.86,1.17,0.6
AG,2020-04-13,0.88,1.21,0.62
AG,2020-04-14,0.89,1.22,0.61
AG,2020-04-15,0.87,1.19,0.59
AG,2020-04-16,0.82,1.13,0.55
AG,2020-04-17,0.77,1.08,0.5
AG,2020-04-18,0.73,1.04,0.47
AG,2020-04-19,0.7,1.02,0.45
AG,2020-04-20,0.7,1.02,0.43
AG,2020-04-21,0.69,1.03,0.42
AG,2020-04-22,0.69,1.03,0.41
AG,2020-04-23,0.67,1.04,0.39
AG,2020-04-24,0.68,1.05,0.38
AG,2020-04-25,0.68,1.08,0.38
AG,2020-04-26,0.7,1.13,0.38
AG,2020-04-27,0.72,1.18,0.39
AG,2020-04-28,0.76,1.23,0.4
AG,2020-04-29,0.78,1.28,0.41
AG,2020-04-30,0.8,1.32,0.41
AG,2020-05-01,0.81,1.34,0.41
AG,2020-05-02,0.81,1.36,0.4
AG,2020-05-03,0.81,1.38,0.4
AG,2020-05-04,0.82,1.4,0.39
AG,2020-05-05,0.81,1.41,0.38
AG,2020-05-06,0.8,1.41,0.36
AG,2020-05-07,0.8,1.41,0.35
