country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.734466782673081,3.1997209029628553,0.7141175231206727,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,2.0152606881751014,3.58117513976888,0.8963436081240388,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,2.302000802653685,3.8757224063042677,1.0820230069245134,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,2.6148688299635685,4.2465629073437565,1.4031055259649983,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,2.4199500866956756,3.8400648792450713,1.3727333318246444,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,2.188690980111822,3.3482586613313225,1.2903171074226343,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.9996178394192508,2.97848520954044,1.1932471459774854,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.7669889250960846,2.614404967647692,1.0655544460028943,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,1.564035021027824,2.297811022658821,0.9540122317124965,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,1.3912447478494907,2.0348084256879684,0.8683703705928795,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,1.2659528392035728,1.841499283264571,0.791197484243485,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,1.1643401606534038,1.6925481589710787,0.725418059902796,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,1.071702625553301,1.5683977635648607,0.6615007473402716,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,0.9792460255296319,1.4579485482316175,0.6042906615959954,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,0.8856456186239813,1.331179939815395,0.5318471930659677,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,0.8114149193333504,1.224984310533956,0.4782695717838692,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,0.7629289933023449,1.1719821624313953,0.4386081973542234,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,0.7424137892423646,1.1651751476100263,0.413985887316902,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.7592442836674048,1.1941377963749753,0.41476422420574277,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.8090384755818432,1.279097619236341,0.44393452845028053,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.8862187018825828,1.374707636065516,0.4861397795720562,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9353440130117816,1.4702429225477731,0.5210250336779246,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.985384217358846,1.5277248168562034,0.5483985012150302,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.9902228409773793,1.529997484784568,0.5635824905465853,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.9758328439165244,1.5321716352701182,0.5558762253414504,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.966398353050782,1.5306003847404501,0.5409532145921205,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.9835609764341522,1.5303341692919679,0.5446548161959278,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,1.0116116077312882,1.5756036115836292,0.5717567677986923,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,1.073761157462971,1.6838983929991427,0.6172014044928719,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,1.169836760802805,1.7705861804858092,0.6777840139704733,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,1.2349790129887486,1.851250746335997,0.7410035842563332,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,1.2813269417423037,1.8961002291146722,0.7842443807019096,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,1.2909855227745273,1.8969959608454101,0.7935537843561787,COM
Comoros,COM,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,1.2531939258352236,1.8325568491725275,0.776403770076571,COM
