country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.6107051635745437,2.1836014687605196,1.1171694877548686,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.5381226484178432,2.089598461270151,1.0812483078880433,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.5396746740284555,2.0558643027842662,1.0944985551559294,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.5574973500456448,2.0566781106849072,1.137202441161214,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.6095188008553063,2.079336789582475,1.1939766880256029,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.6458076952082252,2.0967108406070762,1.248142027165007,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.654873976123874,2.074641897714381,1.2735059104641702,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.6299545827739337,2.0326459846210403,1.277079008949544,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.594969361137913,1.9719375203852587,1.2585846166210182,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.5404102053551654,1.8903787609735825,1.2258593395880846,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.4874055789095628,1.8118668931078452,1.194564334637404,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.424919245257862,1.7275515050906471,1.1517683033412887,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3493358263923712,1.6305024443728748,1.0944714841337162,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.2704909689984265,1.531883758478531,1.030702260224634,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.1907083928691788,1.4338231069033174,0.9674324825295568,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.1148757230253359,1.3447733784644496,0.9057128308106874,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.0497310883136481,1.270555502582385,0.851728671520019,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.9937934597592081,1.203457258832891,0.8036906031646934,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9381618253022582,1.1406438405345172,0.7567847627664468,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.8910911001929279,1.0859716839601965,0.7133825243945844,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.8522450444113077,1.0445151600295404,0.6777897717397462,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.8242134983547708,1.015160182600373,0.6528055067331153,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.794544796657557,0.9883577914528495,0.6209551424165634,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7696561394699529,0.9688811051004508,0.5941390167712657,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.7458558330179318,0.9407675914445008,0.5670672882494631,CYP
Cyprus,CYP,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.7127275658652982,0.9080697450223313,0.5345246861231806,CYP
