country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,2.0843989968459775,3.0381566672868283,1.3084114903392423,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,2.125737115139869,3.124109397305052,1.2788777942876555,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,2.134336761083409,3.1175424557158595,1.338640409310286,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,2.08082069710333,2.978060823748237,1.361931971515644,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,2.1226786883538287,2.92999054935601,1.446133966670839,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,2.2291779387647614,3.0106945573044985,1.5913885353749175,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,2.3419841705804565,3.0618159893869517,1.7231173561777813,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,2.4377171540277782,3.104925784219124,1.854007405451451,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,2.5406516280567035,3.167024519333236,1.9875701176909775,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,2.6164130991412873,3.176594281608439,2.1019566316277913,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,2.6145913250116135,3.1173876372046005,2.157588753317418,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,2.508097290244584,2.945618378756963,2.1161124595184013,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,2.341343907755266,2.7099037279025797,2.002972707588669,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,2.151361086267562,2.468455937387453,1.8453036429004006,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.9541964111941812,2.23585834352241,1.68882337866846,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.761396473088336,2.0068946086552177,1.5357985002742578,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.5652521321385657,1.7768901346012993,1.3640270023172043,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.3759244946437386,1.5621765518291448,1.200858420780051,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.2110036136341293,1.3788331247778862,1.0560103386570168,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.069777910096016,1.2215230225906812,0.9279684854808398,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.9311867165778314,1.06833728192502,0.8049083872266298,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.805810752513208,0.9333482207859961,0.6868069449703729,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.6864966535921606,0.8050626302802304,0.5787631143905371,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.5886283956939313,0.7007805536359963,0.4860844638501861,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.5075150341983796,0.6140815957682124,0.4097060341731432,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.43375927669112463,0.538242142113176,0.34157152753981845,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.3781116817765623,0.48032672537910204,0.2873380168080671,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.3330741781683943,0.44026585488336667,0.2424883207384686,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.3058148910701448,0.41682332938766536,0.21180198457402208,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.2925448494574693,0.41475515697162446,0.19484211641147822,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.30064539761423886,0.4331599737324992,0.1909676259514109,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.3326063515719317,0.4897427232025911,0.20477727047465197,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.3909269626158449,0.5832014260885812,0.23784208446115584,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.4864387240437683,0.7219852699438026,0.29620617902545987,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.6199379423424082,0.9111334504466263,0.3791837030119417,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.7651639266841558,1.1195656958018319,0.47749382677817365,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9333165762628335,1.3437620054982866,0.5951143706008016,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.1170026148484151,1.589780883932883,0.7372494110649305,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.334364853250662,1.8433425280964337,0.9122698398995874,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.5712326068118614,2.1097383722017997,1.1142062573920364,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.8045982863810583,2.3780285595022344,1.325625438105654,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,2.121828712356873,2.678406740568894,1.5990510008491856,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,2.4295922952934217,3.0094528229492656,1.9110359794396892,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,2.7123271154196114,3.253746024039223,2.214844392236388,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,2.8424194232217994,3.3631192547188804,2.3767127610902605,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,2.8063468831187137,3.2501896007492492,2.3925561778764552,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,2.628692121254026,3.0150067682097017,2.2707566010651083,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,2.4305026702556116,2.7667868874001718,2.117297146066028,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,2.2386222103612257,2.5256582501030778,1.9779633872928108,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,2.0598581464123322,2.3020344084268327,1.830967298511528,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.885025611639231,2.093755749951848,1.68733845043547,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.7497256404454353,1.9381555100082755,1.5735228795290488,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,1.6492075759737048,1.816113829387581,1.4884989667258932,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,1.5575867037333593,1.7098770766743947,1.411449758063344,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,1.4736437545546606,1.612536132954207,1.340924398540273,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,1.3965839963172182,1.5263694854616479,1.2731402709772714,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,1.3267831071746905,1.4474657919129064,1.2102796198494956,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,1.257297717899624,1.3715507159609923,1.148680231385339,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,1.1870704192868393,1.2940068917563734,1.0846571480518523,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,1.1243192685058274,1.2270935969867747,1.0254103597651556,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,1.0610509631407723,1.158038776027229,0.9682012847395224,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,1.0059040499131322,1.0985223458007707,0.9174293067732915,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.9544341687384892,1.0448173872227409,0.8680898854866331,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.9034121116138998,0.9908273421750265,0.8195702016047443,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.84312832137507,0.9267317373348549,0.7625431080844218,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.7786284780735251,0.8598864452125503,0.7000500207921834,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.7102004574376347,0.7893236630978299,0.6354559751007446,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.641266599609939,0.719098824465338,0.5680971910564167,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.5755841201214851,0.6511887632842897,0.504662440412241,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.512236603086802,0.5856455109512724,0.44309400180524594,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.4533981524424497,0.5272180188560622,0.38692269833712045,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.40548560597212974,0.4801750475989346,0.33765906889305825,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.36984872997463186,0.44666471242678546,0.30116295432463763,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,0.34802875400293243,0.42729191482325546,0.2766065011963757,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,0.3332451206544034,0.4200611232800508,0.2565866069488288,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,0.3320274388027508,0.4271751807303913,0.2494591731423609,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,0.34134308232708904,0.4482959232501574,0.250009014102433,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,0.36027438475929074,0.4825279136864286,0.25513266137531665,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,0.3817401774631251,0.5238391158724904,0.26504565824474885,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,0.41536226469653825,0.5770381610064924,0.27798515789564726,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,0.4489520717803377,0.6384954058133228,0.2981013663493697,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.48786098500291963,0.7029890225794331,0.3176502818375716,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.5353766583861843,0.7788348932860185,0.33406524617046357,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.586726199906409,0.8503176616303246,0.3688150321139744,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.6513603047700672,0.9432166864347405,0.40634691521930444,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,0.7269971638789585,1.0633990192510676,0.4636287733118006,DJI
Djibouti,DJI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,0.8378595643962587,1.2203805818357218,0.5379350081196704,DJI
