country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.6089149608730149,3.038666478154807,0.6300378978476744,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.634681624470608,2.9961805739847875,0.616485502795362,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.633959605224209,2.9181100133859066,0.39192078183200163,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.6065708250768789,2.9806166883462533,0.23252496180750448,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.560005106390581,2.8264357446655812,0.29357446811558097,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.5038384436178007,2.638947114133735,0.3687297731018666,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.4430364550680086,3.9140361240939887,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.380396711569409,5.943070227668086,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.3209592538974888,5.001167242968837,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.2730384674720883,3.7156257558276375,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.2403652234733935,2.7565067176308364,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.2182496930077555,2.2721698658425504,0.16432952017296087,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.1979918927906852,2.277701867480096,0.11828191810127398,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.174719917891318,2.2655873594118754,0.08385247637076065,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1483909888851898,2.0763216878694166,0.22046028990096267,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.1209421846987482,1.8366446034405914,0.4052397659569048,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.0872639312700978,1.7099489495876672,0.5323394270687921,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.0404211044885432,1.6423720085336775,0.5733299706451642,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.9797432860692102,1.5594457959767787,0.5334518051370681,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.9164182336614725,1.4755826070545348,0.4389963978325758,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8605458847326386,1.4519929779240945,0.26909879154118266,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.808896511830793,1.5759060586900906,0.041886964971495466,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.7563366009482062,1.7140229654229535,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.705875946142685,1.7056239218044578,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.663450018865688,1.505823975234654,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.6291782885878945,1.3011578664304104,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.5999778211274274,1.2701074043191856,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.5815010581508031,1.5846142925613287,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.5863099694227492,2.965665243315481,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.6437488856403684,3.4184719330585587,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.7942773917017558,2.7878967088913003,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.0608212556869494,3.6860616549457257,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.4260561513954304,4.033208796193923,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.8367179544530179,3.827190554303169,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,2.221799751250758,4.117293523696581,0.3263059788049343,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,2.462907691955501,4.930660679246401,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,2.4884975385948467,4.997857884080185,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,2.36158218650392,4.33499132394243,0.3881730490654105,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,2.185679162389186,3.799938863655779,0.5714194611225929,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,2.008296864897771,3.556141537919879,0.46045219187566255,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.8274288309709699,3.270053563834745,0.38480409810719496,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.6414428752013217,2.960861561574845,0.3220241888277986,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.4791640291690749,3.1976241704090542,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.3601886423295348,3.2953040204109163,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.2794805133612692,2.750571473483306,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.2234015000610075,2.2961711174984654,0.15063188262354976,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,1.191081231641131,2.3608504936270696,0.021311969655192442,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,1.19536409599983,2.759778788169484,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,1.2514492835071855,3.1241152149401263,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,1.3609697378537216,3.187579604745145,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.5112945784692333,3.0883160850709466,0,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.6675633318848382,3.083939510298033,0.251187153471643,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.7932224590841215,3.2131176302521003,0.37332728791614267,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,1.873384058485221,3.3596918232223945,0.38707629374804764,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,1.9163579088748635,3.4685893743757568,0.3641264433739704,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,1.9289797668670787,3.644235610169732,0.21372392356442527,ETH
Ethiopia,ETH,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,1.9115355878715448,4.081320413000995,0,ETH
