country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-08,0.24012586451986667,NA,NA,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-09,0.36633962925512625,2.139146515255356,0,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-10,0.654762747946638,3.2971646092602978,6.213315931481912e-4,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-11,1.278184952193752,5.272855960442482,0.01277856710318245,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-12,2.472748992473679,8.16232155982766,0.1296245833601657,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-13,4.161781079875825,11.146055652057928,0.5903985637399521,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-14,5.863854096677792,13.00339796867955,1.5470668788020367,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-15,7.067844857530119,13.322350380063,2.779559886448136,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-16,7.464773373079291,12.38373215764299,3.7791748416330897,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-17,7.058917046083582,10.662987335181677,4.190547503791022,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-18,6.179609888269263,8.727515481561383,4.066711551972515,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-19,5.233288113549328,7.034292158401832,3.6955867001280343,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-20,4.430796396417627,5.7352913283821945,3.2926485587194074,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-21,3.814694134616976,4.793171922913177,2.9465872889880727,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-22,3.460588661439372,4.232302929797057,2.7656018450215027,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-23,3.348023207210215,3.989231145672805,2.7622958120119354,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-24,3.3526813510093127,3.9020695706707342,2.8444507833746773,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-25,3.3488315409098734,3.821653671316048,2.9068334940845353,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-26,3.2972687399165523,3.7016040789870464,2.916016532073259,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-27,3.2223019143534413,3.5669544858962707,2.8949324539573276,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-28,3.136496060989798,3.430392183207242,2.855589228707876,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-02-29,3.031002330200289,3.2900502307248716,2.771954429675706,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-01,2.8990047800215586,3.143589320682898,2.654420239360219,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-02,2.742625321942393,2.981649384153188,2.503601259731598,GBR
United Kingdom,GBR,Gov.UK,Confirmed cases,Cori_slidingWindow,2020-03-03,2.5732703665530594,2.8201654029755536,2.326375330130565,GBR
