country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.2950361980454075,2.274945832375559,0.5887565922769061,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.2042000762569751,2.1102147393750585,0.5500779367889325,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.142302975035924,1.9980333581970775,0.5236930722220927,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.1166629605652414,1.9434662976001038,0.5169094559414108,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,1.135467289775194,1.9538679467110127,0.5371766960459669,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,1.1824617103980106,2.0041528858850133,0.5755677964972344,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.2293798674254552,2.053526910538733,0.6146910356854679,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.2666656090203765,2.0869124940623816,0.649270513178059,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.3004778666051466,2.1116245722905407,0.6840495979443182,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.3318014229110084,2.129713899505054,0.7193678733101688,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.3504713593574786,2.1293084442241854,0.7472120867020676,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.3645074418005663,2.1213964883097884,0.7729554372451062,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.3922814233493288,2.1296521182529546,0.8100215308368087,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.4320819046675552,2.1520582821450196,0.8572174456711718,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.4638766102094107,2.163534194923084,0.8994519501065942,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.4771600661551025,2.151132198085314,0.9285087472557739,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.4828760960958087,2.128784745567841,0.9524828988949648,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.4825256152313135,2.099420844479156,0.9717767978662673,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.465499389925619,2.051327268089803,0.9770937069937133,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.432761105899076,1.986345567335375,0.968601136131573,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.3969027205009585,1.91996400436358,0.9560928361840385,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3640240815366689,1.8597748416973232,0.9442554243083315,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.32566315954233,1.79591971656883,0.9259863546789087,GEO
Georgia,GEO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.281002102228128,1.7272476568507171,0.9006888255193322,GEO
