country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.6684564939954427,2.7378679982023635,0.5990449897885219,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.459822902267843,2.4405918362523673,0.4790539682833189,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2801645512079591,2.1178722267147494,0.442456875701169,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1207259954087767,1.8619126210370442,0.37953936978050906,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0041147948044462,1.692421049458738,0.3158085401501546,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.9477553109747386,1.611198687542346,0.2843119344071313,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9534234823723166,1.6136260993471718,0.29322086539746117,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0164701121253659,1.6835344941388617,0.34940573011187015,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.1402438062401792,1.8108906366631223,0.46959697581723614,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.318980567517625,2.004192493752788,0.6337686412824618,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.5108405115278642,2.254999329436436,0.7666816936192923,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.6578362994547389,2.5124255017416974,0.8032470971677801,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.72427316655306,2.720193313510366,0.7283530195957535,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.7237212195206502,2.860953075535583,0.5864893635057173,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.7014478379767528,2.924089301646826,0.4788063743066795,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.6856450884241172,2.883801921518594,0.48748825532964024,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.677143237588965,2.7527707377625723,0.6015157374153577,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.65727765346113,2.599505433304423,0.715049873617837,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.608456903590076,2.496710500421892,0.7202033067582599,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.532777861984561,2.4158957460591655,0.6496599779099566,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.4480402370186298,2.321332728913952,0.5747477451233077,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.37094147177768,2.2423356527927263,0.4995472907626338,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.3068167268730517,2.19474581915153,0.4188876345945738,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.2554634795785482,2.1581674475459702,0.35275951161112606,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.218928886264735,2.142640084516513,0.29521768801295667,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.206044495019185,2.183298376016914,0.22879061402145628,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.2177585325266573,2.2521758680623583,0.1833411969909564,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2407196420767148,2.298809925737856,0.1826293584155736,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.2540074841050899,2.3073238986214166,0.20069106958876293,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.2507813994105434,2.2806563275616063,0.2209064712594806,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.2430191995632158,2.250319275200152,0.23571912392627947,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.250789405797415,2.305255925714618,0.19632288588021174,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.287753557095938,2.494988901401986,0.08051821278989002,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.353865752048535,2.674192586721512,0.03353891737555825,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.4342128938232115,2.7485970191299245,0.11982876851649849,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.5106331400868127,2.8001985937132954,0.22106768646033026,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.5749095040886425,2.8552859684943024,0.2945330396829826,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.6266395794942325,2.86144692599074,0.3918322329977253,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.6655020432586936,2.8917774216868835,0.43922666483050365,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.6773111872420283,3.0517819369633203,0.3028404375207361,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.6476309141391103,3.20513848469753,0.09012334358069052,GHA
Ghana,GHA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.5765076499010542,3.212919430638022,0,GHA
