country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,2.620837688463586,3.712876780816709,1.7169169018168258,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,2.660356854741087,3.6439363900808583,1.8287993445286683,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,2.468519515279615,3.325152913948445,1.7283958843255511,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,2.236786072068826,2.967922297586403,1.6138523851402284,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,2.067658011484305,2.695743198332621,1.527990108046056,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.949494213445362,2.489953914254154,1.4695731092162472,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.8292642532518855,2.3187208911438844,1.412683438606625,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.7378300904556303,2.177998575977764,1.3494238765174598,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.6531073455688452,2.0494839325525813,1.2957430112210704,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.5719327080149794,1.9411407859027663,1.24651935156275,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.511474417299751,1.8501915666496167,1.204143131809224,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.4517269158279233,1.7706307175616465,1.16739867431746,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.4217638877342447,1.7225161501452664,1.1468591534402193,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.411681243161867,1.6956493367522951,1.153745822880281,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.4207030106096645,1.6939804576713253,1.170762792865112,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.4456074729336614,1.7090977193141281,1.2043243349875972,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.4700159609782169,1.7258919795157828,1.2328677827567027,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.473820995952208,1.71813754106819,1.2457415534365304,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.4645501692806109,1.7033536907666542,1.2452713549969097,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.4576638719939294,1.6826945614262323,1.2485810372852633,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.4397238805958383,1.6540830989497097,1.2394762400484245,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.4228007380837329,1.6249915617849824,1.2308147005175167,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.397396696576679,1.592425912996976,1.2131301115751276,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.3700023026281392,1.5526494699528752,1.197342782379827,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.329148871056255,1.5074989379027204,1.1670384714527076,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.281404566506287,1.4497396940741567,1.124856711387245,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.2272847453362428,1.3846998030607147,1.0797247994958992,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.1698657050330605,1.3217792740159227,1.0288271331638943,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,1.1237152904886745,1.267314628237766,0.9867848528296945,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,1.0774126496970295,1.216586070900156,0.9458323078245555,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,1.0354563134061872,1.1697625666462854,0.9111147176542885,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.997956897218363,1.1282756031143586,0.8751811769517281,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.9670419199007352,1.094706086764549,0.8471912015730959,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.9455536403785652,1.0716557375843263,0.82620479337271,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9289736996421549,1.0557951363969973,0.8110633858092661,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.9205232139781881,1.0461510451258234,0.8027562247839823,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9226549730571132,1.049105220413529,0.805105274202595,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,0.9330370928990185,1.060317063173909,0.813204352040499,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,0.950132230216421,1.0795568452872686,0.827877206727123,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,0.9750439078556566,1.108982086029166,0.8496152566565888,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.9994312622838373,1.135742142629055,0.872439801191389,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.020153412741772,1.158497982477438,0.8916683673894046,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,1.0363876921173911,1.1739426717427581,0.904934553787131,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.0428485146421071,1.182332332363645,0.9134539958809763,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.0474843109922725,1.1862382865062855,0.9170350999132015,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.049851335782103,1.1892800634078504,0.9203265663041486,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.0534013991512903,1.1911918740473249,0.9231675106025029,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.0503486366003767,1.18828577252867,0.9225110612309673,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.0435872910517272,1.1804382742846269,0.9163599107246225,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,1.0335535750744411,1.167271943526618,0.9068680150283028,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.0185913257590111,1.1529922967470385,0.8934566905771302,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.007068911879169,1.138852480366827,0.8834138729708113,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9923733170356496,1.1232470202558251,0.8709116970100061,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,0.9844223990467469,1.1135443386144717,0.8628821855058781,GIN
Guinea,GIN,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,0.9741140437716423,1.1029016996097354,0.8534246668805304,GIN
