country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.051567900332338,1.9016251668825712,0.23573106390542298,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9255775600983327,1.766550696625668,0.08460442357099729,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.825852836411857,1.6338352402830345,0.01787043254067955,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7508842637603543,1.5279031338244344,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6852814825023509,1.4432019868402868,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6167227529927628,1.3502121341623026,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.5577476558120552,1.2911127240161888,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.5249954591134324,1.4093003007970215,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.5179369135220402,1.746214142625513,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.5286322009637696,2.0489502549852086,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.5997847045846313,2.2263547978761102,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8287426137118746,2.4555288927403756,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.2953650304434976,2.9480853716486264,0,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,2.103818632376198,3.919220045714506,0.36690257738968257,GNB
Guinea-Bissau,GNB,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,3.2645153923074353,5.428818533777389,1.4980521185775395,GNB
