country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.1816337052630788,2.4762459937377534,0.36240439555356846,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.1604520163836858,2.4161403966653365,0.3617957564223862,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.1613026733988814,2.3912271599926527,0.37222927640295705,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.1832407261130549,2.399756584008112,0.39357875102744305,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.2054030562734241,2.409487701775263,0.41509867741776985,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.2024240161825739,2.3819324004569524,0.422940508807829,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.1669751987951886,2.3064336377595542,0.4126603827347899,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1076642419126583,2.1973558137782576,0.3883129188909859,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.0554406871672188,2.10187758041902,0.365427445872341,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.0389867309685434,2.0633890429181867,0.3427056509940316,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.0644272877085084,2.090503345270219,0.365707290033078,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.121581618143721,2.1653277361799157,0.39369629476127443,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.1991850226171288,2.266642085783555,0.4412049747903841,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.288836947615682,2.377574008297664,0.523961647395344,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.3522267409909836,2.4426968824317137,0.5814399599525781,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.3512159088128388,2.4111706699033544,0.5955307177251012,HTI
Haiti,HTI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.298073592347858,2.303938750302905,0.5782597837128967,HTI
