country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,2.9765951056113087,3.7547215813860575,2.285558346055508,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,2.906282559801115,3.578863699297349,2.3096569205455593,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,2.7796349715433273,3.355562419874688,2.257508277283627,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,2.6218258598119313,3.1189151955938073,2.163753951506155,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.450034185010325,2.867851279311597,2.05756933571164,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.2832079034539894,2.649899843962774,1.9475895771350638,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.158516561143683,2.474808042949194,1.8605543490600298,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.0365711421422095,2.316842143196728,1.77242440821125,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.9156971871152062,2.161255262896235,1.6850156412965651,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.7955088768959082,2.0145506021949173,1.5923759104189774,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.689799583554338,1.888849252209832,1.5028619921976585,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5916613177583592,1.7721631990906284,1.4213996897729224,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.496258312140003,1.6589076143320052,1.3389062301776211,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.413152480409981,1.5645251201455936,1.268135156594286,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.3487855684246144,1.489582380165895,1.214887552491737,IDN
Indonesia,IDN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.306035556736863,1.4393317553340004,1.1791318374305793,IDN
