country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-22,3.5492429861251678,3.7317476908824574,3.370295659480142,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-23,2.998152462365561,3.139437587767246,2.8600903443745036,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-24,2.5681393559399077,2.6806751750490676,2.457984224881248,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-25,2.2450277965123284,2.33734911282185,2.155039521073023,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,1.996458816259299,2.0746803766926414,1.9201614818797932,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,1.7938539436644858,1.8610665664199841,1.7277938952918126,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,1.6291476286998041,1.6888691583794302,1.5704866319481277,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,1.4974291816581136,1.550309837037775,1.4455085998034076,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,1.3875340582144964,1.4356465906471634,1.340205565753194,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,1.2945693106314717,1.3389480079984803,1.2509468234079117,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,1.216795954362736,1.2583698946009936,1.1759109287223215,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.151908869268389,1.19134161927325,1.113130790235203,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.09921131447106,1.1367443593603066,1.062327181680474,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.0605902597218473,1.0967960914548844,1.025003165615172,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.0399508878382264,1.0753748842593758,1.0050892353144878,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,1.0364324506174227,1.0714207288071824,1.002017139831614,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,1.0548429383647318,1.0898673949349316,1.0202959651382868,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.093877618608109,1.1298350868975882,1.0587510070194541,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.154590751017965,1.1910235979864592,1.1187252067352678,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.231416745989528,1.2685608739060084,1.194736074547544,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.3191183896354177,1.3573135267645773,1.2814564391677148,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.4038565877573594,1.442325162071947,1.3659009245381746,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.4780916502253176,1.5165329235123874,1.4401756608453062,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.535036069260917,1.572893126061848,1.4976104139709394,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.5645027016837139,1.601044869435383,1.5282977761389636,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5577317490585387,1.5927478428310355,1.5232393444541252,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.5205170329601152,1.5535379438078591,1.4880073331615773,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.4612641193342408,1.4918966187667018,1.430925482228314,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.3814400954108226,1.4099247585033554,1.3532421578333094,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.2882723788986807,1.314630553424863,1.2622547492916947,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.190486994714834,1.2148983435491487,1.1663200222223378,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0958516621072218,1.11866948859903,1.0732657514436592,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.009133962323707,1.030525142036908,0.9880810872816801,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9322326300700448,0.9525342968045059,0.9122493511459556,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8680287199080905,0.887612155981129,0.8486773658565946,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8160163656909415,0.8350509221392629,0.7972208915090172,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7759965230739179,0.7947380848308149,0.7574755512402298,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7476576718415381,0.7664797435029931,0.729092785007019,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.7305097674766091,0.7494672097099061,0.7118449325708157,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7236754184581187,0.7432177646633459,0.7045786067419954,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7253853220782757,0.7453858785535381,0.705656544796838,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.7346615752755546,0.7555053545918391,0.7141054134880758,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.748828931933943,0.7705714097218027,0.7274564597529914,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7669881326555427,0.7896367655217431,0.7446594571329626,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.7863577942600195,0.8100865773253776,0.7630642379476845,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.8054205203080869,0.8301240996868077,0.7811138836646218,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.821774199336234,0.8472393622890508,0.7966648749425591,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8347614298913159,0.861066636196823,0.8088787559660475,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8451519591056408,0.8722876879813686,0.8184392083532765,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8521948138705271,0.8799121679480204,0.8249150296754223,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.8566801904353011,0.8849393331937302,0.8287586402464845,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8589992768198611,0.8877962096094533,0.8306706980856836,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.859789029268213,0.8890318553707355,0.8309117912051306,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.859522471577258,0.8892653349387531,0.8302827136104807,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.860413319559238,0.8907048187165789,0.8306387828726002,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.8646365562272468,0.8953479428627236,0.8344198198304925,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.8754529068391682,0.9067153125393567,0.8446140150241431,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.8957007463465776,0.9278733970318886,0.8640625892062306,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9252287543047811,0.9584806096633801,0.8927606876681208,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9662787955735612,1.000787556670155,0.9323815504851606,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.013731720684526,1.0492485809718248,0.9790015940389267,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.0628484093646395,1.0993513644291557,1.026953433192066,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.1102712934450543,1.1476321137419243,1.0734710649369057,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.1509864695004863,1.1887844495317552,1.1137920816385043,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.1860676458740305,1.2242202356928973,1.1485108496775296,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.2165324488837699,1.2545391200869354,1.178987563628182,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.24230447126252,1.280247885966416,1.204924098753485,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.2608684207900789,1.2982615317488009,1.2240143171324542,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.2680446262961618,1.3045584445109033,1.2320283874439795,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.2655475454284058,1.301081624256361,1.23042210498427,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.255537644213129,1.2902203965974295,1.2213210181409644,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.2413745203867055,1.275036082043957,1.2081461464244927,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.225793368326186,1.258292596613286,1.1937135779424752,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,1.2101122233089496,1.2416167306582138,1.1790164700639463,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,1.1950785320699404,1.225703413503621,1.1648071586321005,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,1.1786972466785641,1.2085913484224067,1.149161174327103,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,1.1619977820231198,1.1910458911630852,1.1333034149198828,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.1404515407242701,1.168794371184128,1.1123965691054594,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.1156868412302077,1.1431894635510877,1.0884397229943723,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.0912081637258493,1.1180637199319683,1.0646227256825185,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,1.0709473322052057,1.0971984822176966,1.045109726230951,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,1.0553992741931562,1.0812015770920749,1.0299067063106726,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,1.0466539832553696,1.0721410709927455,1.0214693286313172,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,1.0442249683587195,1.0696250830540732,1.0191105007717787,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,1.0482046958036413,1.0734455455516008,1.0232600635759512,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,1.0600848587941427,1.085361880801999,1.0351591819793404,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,1.079880174415726,1.1053037445958371,1.0547903957919091,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,1.104892124928823,1.1304490061860537,1.0795748137577639,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,1.1280243674725796,1.1535903974273471,1.1027409258906304,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,1.1449983235551078,1.1705248287726508,1.119749407123163,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,1.1537375007016124,1.1791784003361812,1.1285702747657513,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-23,1.1494252501046178,1.174445097535996,1.1247020297834536,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-24,1.1288862000447681,1.153243426623766,1.1048673422286226,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-25,1.096868780780228,1.1205850063688105,1.0735462802747788,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-26,1.0585335358186267,1.0814055836296663,1.035902630578353,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-27,1.0191799927109952,1.0413842813850391,0.9971803872245519,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9816496472820153,1.0033186648708425,0.9602748990989298,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-29,0.9492799347818013,0.9705282904049232,0.9282891353436129,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-30,0.9224376351095622,0.9433711101551923,0.9017358385403151,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-05-31,0.9021199836134238,0.9228382603270847,0.8816337270671817,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-01,0.8902906963494531,0.9110867465539317,0.8697314726028944,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-02,0.8897698569308455,0.9108561542452678,0.8689229816809466,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-03,0.8994875266224448,0.9207699396863793,0.878413213127644,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-04,0.9210294609977506,0.9428566685281533,0.8994754785662162,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-05,0.9490589852952546,0.9714586233186707,0.9269297975853528,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-06,0.980376891943666,1.003418414321427,0.957599366799345,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-07,1.0095482748371427,1.0330729287419271,0.9862908794853666,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-08,1.033935751866563,1.0578173097069707,1.0103465988043658,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-09,1.0501194768044295,1.0742321246171302,1.0263523202825913,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-10,1.0579827581927026,1.0820904020311817,1.0341430012650732,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-11,1.0587772287799277,1.082812751400013,1.0350078037874186,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-12,1.0536536244291672,1.0773893042275435,1.030178728389657,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-13,1.0439288175318149,1.0674559054873918,1.0206603354669894,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-14,1.0330475443963707,1.0563903926590126,1.0099619417158499,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-15,1.0223638472909844,1.0454903458413836,0.9995713926261747,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-16,1.0141123936723164,1.037030444080933,0.9915109553450295,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-17,1.0088564611330217,1.0316326078588052,0.9864466446126982,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-18,1.0065185354893027,1.029246453688409,0.9840734898278525,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-19,1.0063155544835152,1.028965171222179,0.9838159394636953,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-20,1.0064883977632841,1.0292098561111094,0.9840171056035161,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-21,1.0068236639969266,1.0295771927313067,0.9843403278748006,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-22,1.0065635587949149,1.029218854811402,0.9841569637173044,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-23,1.00401433515469,1.0266241595901402,0.9816528418239935,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-24,0.999219221358925,1.0216675721076647,0.9769209011943352,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-25,0.9922426731969857,1.014689794764928,0.9700432130650115,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-26,0.9850640813292952,1.0074074526662342,0.9629678683969123,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-27,0.9774076363438542,0.9996611075610485,0.9553427403033853,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-28,0.9707842839366001,0.9929773656598329,0.9487327314338853,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-29,0.9658615360508593,0.9879795028827192,0.9439815265482295,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-06-30,0.9623563373756562,0.9845917948126776,0.9403732026425078,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-01,0.9595020296594315,0.981849537772326,0.9375385617331223,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-02,0.9578135162924112,0.9801991441832949,0.9357284215637521,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-03,0.9577148255904602,0.9800917791215656,0.9354080759291008,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-04,0.9597719165939812,0.9823279116619724,0.9374293872060669,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-05,0.9644828534641643,0.9872873598861784,0.9419411844775092,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-06,0.9730567153053582,0.9961038102758938,0.950224852558316,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-07,0.9844720666206807,1.0076538575981153,0.9616377722733137,IRN
"Iran, Islamic Rep.",IRN,OWID,Confirmed cases,Cori_slidingWindow,2020-07-08,0.9980214230499976,1.0213954675342507,0.9748268729557241,IRN
