country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,1.4279399013512755,2.1386368099488244,0.8652169024620867,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,1.4066243795660456,2.0536231580458604,0.8660679331727172,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,1.4371900469713705,2.0960940655738094,0.9007656827645153,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,1.4755299853239559,2.089918471878422,0.9443899706373003,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,1.4908298854016295,2.0943176713375973,0.99133899734453,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.5087825206800003,2.0862518120527724,1.023843545488985,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.5251965890751378,2.091772946296884,1.0471073970787572,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.5367119212066298,2.0547077198594605,1.0789687605178633,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.5521549756832225,2.0611701394750965,1.1102833215646284,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,1.5958469650022824,2.0931612134116775,1.1610777576440818,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,1.6324060985568085,2.10296447826913,1.2234721775835031,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.6827604882476959,2.1415504313996694,1.2794489811519982,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.7293110646073557,2.16012508793838,1.3425601287250324,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.752345391978988,2.169560488188883,1.382433523352894,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.7719766977256557,2.157224211740047,1.4198504724453858,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.775311410499063,2.141450114379981,1.4422886594262134,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.7574984158872287,2.09994029909709,1.4481354981589811,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.7171024844296354,2.0299309263713656,1.4290956494466471,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.6617240550036896,1.9490627588772322,1.3935086946465849,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5907833901711006,1.8548985972727026,1.347044379261694,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.5232387129651908,1.7710948030259785,1.2921953226334046,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.4550413165960783,1.684501668445253,1.2434211778768989,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.3908738562703968,1.6029145999723935,1.192797493538144,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.3355284681879456,1.5345117109723765,1.149578004980271,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.2889458526578623,1.478321746301894,1.1110460386212018,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.2393024004096411,1.4200483439748723,1.0709207655096198,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.181471335307441,1.352415318525821,1.0227855596523117,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.1172324529723694,1.27675044998345,0.9633826995304242,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.051731157395533,1.2058070666055447,0.9049206301991123,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.98836226700249,1.135895617337122,0.850961267362574,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.9277324858170812,1.0700040678146565,0.7951692074103471,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8718793414719748,1.0094250616908564,0.7442802082477148,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8182281989681847,0.9519917426818232,0.6937660198721144,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7640424821124215,0.894740725549874,0.6429534656706049,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.713977416405996,0.84393462636849,0.59479594514194,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6714434500413305,0.8011981708451381,0.5536152466835803,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6414635224323538,0.7703715506049881,0.5232676670189709,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6202187068613882,0.7539886832242055,0.500565611838569,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6171007690957289,0.7547990745542059,0.4931270181853593,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.6396735817021187,0.7867635392161438,0.5075300084758401,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.6893805679962466,0.8516159895817565,0.5430901853157526,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.76361808158974,0.9380753932572993,0.6030875439780338,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8614490652212475,1.0589625777685023,0.6858745158386638,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9837782746658695,1.2015166475159,0.7893245392053468,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.1160096048380588,1.3484438854825624,0.9022447173720157,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2470267024709274,1.4972170426658324,1.021919084441275,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.3712068943275717,1.6256585222805808,1.1344722411957935,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.4556241238399534,1.7130914330275275,1.2207346030422923,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.510678900153989,1.7690011127644796,1.2752079620804169,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.531803243047144,1.7819276744999466,1.3015158611511366,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.5184137729304619,1.7529965989500993,1.2979807499891047,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.4759209038257182,1.6979738370286583,1.2685345522674707,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.421744694077828,1.628283755032813,1.2271338531971945,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.3561823798132975,1.5483680227893832,1.1717337618772887,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.285494834828154,1.4669104630540155,1.1164194683543307,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.223496397059073,1.396553796922517,1.061886501356533,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.1706545703669873,1.3333192476855902,1.0166651478045736,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.1254497791924916,1.2810984330211914,0.9784121348760941,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.0892760336791585,1.2403999769809293,0.948204073499504,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.0639572164339024,1.21043209351898,0.9265920440302434,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.0513708334441352,1.194978736828921,0.9154065602261999,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.0494078837787484,1.1923182055952883,0.9152867776646384,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.0582062418303262,1.2011728629827754,0.9234194763438226,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.0710115011141168,1.2147051099566353,0.9368166061626002,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.0943454008458073,1.2368855399177883,0.958710612440502,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.1185257957818313,1.263175635876292,0.9834489435575924,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.14443600062559,1.289240968321073,1.0074541269174482,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,1.170938836450601,1.3130773773515718,1.03463636573146,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,1.1971080793181232,1.3412821093669596,1.0602241277496862,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,1.2314913191560741,1.3745613343652772,1.0936921633275507,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,1.2678340269238468,1.4101984804643783,1.1324850726136162,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.3060246155702646,1.448032353744998,1.169788706504733,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.34432350218199,1.4852939563471308,1.2096829767969306,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.382198627954744,1.520757492473511,1.251499106077001,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,1.4241691464505932,1.5593716771167891,1.2940732245985422,IRQ
Iraq,IRQ,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,1.4644320386275114,1.5985533235191078,1.3365432310742391,IRQ
