country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-27,2.4230421724887568,2.5893778242970655,2.256706520680448,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-28,2.288464060863693,2.4367808590678592,2.140147262659527,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-02-29,2.1874092436642187,2.334044920295642,2.0407735670327956,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-01,2.1039090507721543,2.257922767523807,1.9498953340205016,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-02,2.030905377344304,2.1876506223453625,1.8741601323432455,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-03,1.9658633537270993,2.119809773022909,1.8119169344312898,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-04,1.9062430976200682,2.0546061313613246,1.7578800638788117,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-05,1.8484306865289988,1.9863917293470523,1.7104696437109452,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.7896470941462992,1.911596942430928,1.6676972458616703,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.729331169825393,1.8351129828486203,1.6235493568021657,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-08,1.6639237330228225,1.758066987769283,1.569780478276362,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.5907154202054716,1.6758960777533094,1.5055347626576339,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.513088787707305,1.5921945895407479,1.433982985873862,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.4379293052385185,1.517082498578721,1.358776111898316,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.3683434606165927,1.4515375922931957,1.2851493289399898,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.3018906389468246,1.3886084607636786,1.2151728171299705,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.2350383672132086,1.3242514995789043,1.1458252348475129,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.1680095433364872,1.2586731222761736,1.0773459643968009,ITA
