country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,0.8212765233042573,1.1112860216214637,0.6225725717607531,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.0530498385698568,1.3763438855684493,0.6854097433950777,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.1371267370366356,1.5924899160605512,0.6835665882309587,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.183939095350418,1.6666462144299186,0.6713582072635178,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.1654243971325133,1.7289268333344654,0.6270355236973809,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.135386997445499,1.6936323322253992,0.6410878443887613,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.097839614531907,1.6154460275088054,0.674536888472896,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0930153893403955,1.5336458334332184,0.7060119946105541,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.0590562500334868,1.4715174005355451,0.719070403539007,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0231326353933183,1.444255471151701,0.7039312066515586,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.0143669536800937,1.4471657437338101,0.6703521524609241,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.02192170251847,1.4646479562758812,0.6357819225714383,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.0210129155463006,1.4877016034853559,0.6160213950644144,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.0352707531993677,1.5167739381967376,0.6133461433743144,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.051523190728491,1.5601782752140285,0.6315609677586393,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.1359727686809922,1.6306638076895428,0.6696485358283752,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.2361249975430337,1.7431623956794995,0.7136539431155919,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.3103286220389112,1.8897812692628844,0.7705242676092816,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.4185019125379013,2.0462470742505667,0.8490131889568209,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.5237578062119745,2.188823678059498,0.9497348796244275,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.6150085933777882,2.3034207212334676,1.0594635007686717,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.7023618778606175,2.403388301300134,1.144719235685763,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.7776034815792146,2.4861132130488564,1.1905241843173506,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.8478702766372987,2.5169898651123948,1.2180023623829361,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.8612506428257243,2.498543560066091,1.2333626212956161,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.8183492504185972,2.43452338373171,1.2429154774406803,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.7754166692035571,2.3245871993288567,1.2538218534783894,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.7225537364862817,2.203341085280023,1.2435172905478566,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.653189407697902,2.085463546717066,1.1992377138649508,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.5546303892188036,1.9663893261529668,1.1354794570945073,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.4443065564970716,1.8425175596553403,1.0644284307787704,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.332784007360761,1.7144611174085964,0.9939895515530115,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.2447672543554678,1.588166259812481,0.9258154621043762,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.1538385310601234,1.4678469256601054,0.8605623360865733,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.0676470358711314,1.3566462426874564,0.7978547956380716,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.983747782666147,1.25405919479061,0.7381932360570529,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9128817149416009,1.1602963078084791,0.6812585038751555,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.8405237052844373,1.0753180810306897,0.6259168028677509,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.7833776683197362,0.998088736498126,0.5746468143774978,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.7280877943896509,0.9294202173048709,0.5256371756685605,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.6771594762722765,0.8719220437831693,0.4800082671328293,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.631154169043002,0.8261788097090631,0.4401190737040551,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.5925175415331252,0.791477383310511,0.40547537438502046,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.5698534713150283,0.7682398958010425,0.3758023179007727,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.548382187264632,0.7591304042491147,0.3475085769850914,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.5357625215031422,0.7645644566443454,0.3216355806856074,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.5392889818676231,0.7804397008694892,0.30317509872225396,JAM
Jamaica,JAM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.5419377832481844,0.801782086076359,0.29697725905669003,JAM
