country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,2.6550546130107304,4.26225518113898,1.0478540448824807,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,2.4674701019446994,4.239781977123277,0.6951582267661212,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,2.2755494070827664,4.077294947164205,0.47380386700132826,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,2.0934775696283383,3.7370284694072655,0.4499266698494113,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.9091717115627946,3.333364736548253,0.484978686577336,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.7148651010221323,3.003791671970765,0.4259385300734999,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.5232954624984427,2.7092522397518244,0.33733868524506105,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.3504004710690642,2.4200235370702665,0.280777405067862,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.2087249754823666,2.193945748709916,0.22350420225481693,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.1025387624943235,2.05321707744008,0.15186044754856665,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.0407523015791784,1.9878465236584404,0.09365807949991634,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.028579913331632,1.979823529440679,0.07733629722258495,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.0601709518895712,2.0217598298026642,0.09858207397647833,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.1178433244957702,2.086779874498892,0.14890677449264822,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.1857400509179123,2.1452757318512337,0.22620436998459093,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.2607636315567192,2.2477642606834154,0.27376300243002294,KAZ
Kazakhstan,KAZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.3370253864488326,2.4538760914878575,0.220174681409808,KAZ
