country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.5366840012715886,2.585007748539924,0.4883602540032532,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.4823024349700924,2.4774829246213503,0.4871219453188347,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.4887271173611996,2.6745125015225186,0.30294173319988027,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.525469969835088,2.563444617931615,0.4874953217385609,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.5619785047895365,2.4898043756621036,0.6341526339169694,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.5945784503433933,2.4806967949304863,0.7084601057563003,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.6231374526113127,2.5566121442980085,0.689662760924617,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.6346338136830099,2.6743834549132735,0.5948841724527463,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.6161852523958817,2.813697329074273,0.4186731757174904,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.5649201373336386,2.855477479115947,0.27436279555133014,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.4846070986818973,2.7040389050812133,0.2651752922825812,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.3842771276443164,2.4416337223498656,0.32692053293876744,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.2779737290677098,2.2071680429503435,0.34877941518507616,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1769904734324974,2.0772945497488333,0.2766863971161615,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.0869786254031821,1.9852591066255125,0.18869814418085173,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.0110786241171532,1.8530686278508712,0.16908862038343508,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.951647335616615,1.6967727727473723,0.20652189848585767,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.9047798162698412,1.5555654181142666,0.2539942144254157,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.8646527167053624,1.4400455241758516,0.289259909234873,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8314678103204359,1.3479253879992918,0.31501023264158,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8058655969753514,1.2866780631100072,0.32505313084069576,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.7876478471744104,1.2572300545970152,0.3180656397518055,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.7777677803505079,1.2528094904797031,0.30272607022131254,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.7765998011859006,1.2659737951854784,0.2872258071863228,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.779694202733482,1.2884973426936557,0.2708910627733082,KGZ
Kyrgyz Republic,KGZ,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.7803199285241076,1.3051245554274322,0.25551530162078306,KGZ
