country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.005092613980088,2.8684406993023153,1.2665250172905482,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.6908662279624034,2.406068657516171,1.0235359573836542,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.441914906093352,2.0586223994818136,0.8252074127048906,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.2376426847303366,1.803534650250004,0.6717507192106692,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.056226848947508,1.5763455842178202,0.5361081136771957,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,0.8930155666187973,1.376651365241449,0.40937976799614584,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,0.754844280704736,1.1999245068191478,0.3097640545903242,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,0.6471987763275111,1.0438294724372668,0.25056808021775545,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,0.5642970702557195,0.9146530116491701,0.2177366612776907,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,0.4937020488412531,0.8371457041389685,0.17988601897011502,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,0.43091069188373554,0.7724761251370983,0.12519143822217826,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,0.3788564558297273,0.7246087889068389,0.06491499439492543,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.3458051516448793,0.7064801045139593,0.018289939994886872,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.3373862012035774,0.7295290738167303,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.3541618396800108,0.7986614055185625,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.39071195972302836,0.908661074218057,0.0023330973676857214,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.43812558478471897,1.0465231210101544,0.025838959126717964,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.4880233712335198,1.1973511631798126,0.04319035375919816,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.5305410552522252,1.3417211572889018,0.04630227901065548,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.5596190284326402,1.4655428109945436,0.03555933630051822,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.5782422427475113,1.5709252395699371,0.00936252205396304,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.5925435937810722,1.668003213294311,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6026793383161029,1.7582959433802854,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6005032518157819,1.8278685257829135,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.5733549053389607,1.8517830711285332,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.5185718220962565,1.820395283042152,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.445134455891196,1.7456126669031764,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.3678211414479825,1.6537431232667636,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.2965526043270425,1.5642815226117806,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.23170783019237107,1.4708242807054037,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.17393377629562493,1.35682820339332,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.1265048775212285,1.2074458044150675,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.09713333643165664,1.2042264254043114,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.09229417702722177,1.2703646933626431,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.11338605004535932,1.386784966164015,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.1569387075329155,1.796973398450094,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.22175681728736643,2.5389809072846754,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.31194162826137045,3.57146880887051,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.4263019456861199,4.88078428865555,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.5549499156973476,6.353690985779909,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.6808530613748641,7.795171845845196,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.7876683723247448,9.018113699026163,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.867367939523804,9.930604010961607,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.9210396892050134,10.545098585146777,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.954580432854492,10.929110753730056,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.9744908866493082,11.157068029189672,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.9859103514803322,11.287810910136207,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.992310386923333,11.36108571629915,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9958407228752242,11.401504974109326,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.997766008135524,11.423547805826942,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9988069755044021,11.435465971414589,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.9993659843324203,11.44186613339513,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.9996644901460738,11.445283763786207,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.0385007555549348,11.89163214853674,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.2148756770661064,13.814246536570918,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.6499013470765898,17.93399688160388,0,KHM
Cambodia,KHM,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,2.3954496034765955,23.420272409507685,0,KHM
