country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.8094719139598417,2.309498354022007,0.08855411872084283,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.7016043230484927,2.1251474628444775,0.058217544362728815,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.591994546970611,1.9456879459125416,0.03182068707782741,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.4794950723066346,1.7644119663288893,0.012362724828793253,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.3723891358279424,1.5898781548653336,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.28162118674356984,1.4390142550274863,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.2102819979037492,1.3151315333689175,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.15329796477193045,1.1936565376442378,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.10961406355018354,1.0525233904079263,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.08399711040680377,1.3565794150016133,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.08129588490913837,1.630188464439912,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.10250720103856055,1.780194586488909,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.1447702650240849,1.7692681838830762,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.2078338518022076,2.3795325933336855,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.29641850322265906,3.3937325129197844,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.41019575320478346,4.696382476727511,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.5400102244255134,6.182644592079842,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.668726670354047,7.6563352785449,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.7790234448452322,8.919136843195346,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.8618404767465667,9.867319398371233,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.9177800939999052,10.507779072004833,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.9527612149616959,10.908282300567569,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.9735109570376708,11.145848692517937,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.985394128797217,11.281900612079411,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.9920422057338829,11.358015276322917,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9957026339468579,11.399923976699327,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.9976953225700307,11.42273851794781,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.998770941212463,11.435053410299801,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.999347670557994,11.44165645670144,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.9996552047258062,11.445177453848347,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.9998184248728004,11.447046181723278,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.9999046963167486,11.448033914273982,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.9999501287830868,11.448554076262784,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.9999739753090692,11.448827098120956,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.9999864540361152,11.448969968627472,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.9999929659610297,11.449044524470187,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.9999963554610338,11.449083331279619,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.9999981155342703,11.449103482578213,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.9999990274771497,11.449113923526287,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.9999994990086909,11.449119322149869,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.9999997423519722,11.44912210821753,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.9999998677081746,11.449123543436368,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.9999999321750809,11.44912428152604,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9999999652758431,11.449124660500805,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.999999982245935,11.44912485479351,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.9999999909340576,11.449124954264912,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.9999999953759482,11.449125005120674,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.9999999976440208,11.449125031088121,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,0.99999999880064006,11.449125044330398,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,0.9999999993898165,11.449125051075953,0,LAO
Lao PDR,LAO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,0.999999999689611,11.449125054508338,0,LAO
