country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,2.1356232664798527,3.250041955323682,1.2528020446164014,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,2.0093892880326676,3.0966699852209016,1.1361112039485857,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,2.069753681335068,3.1000975282250627,1.241470329321637,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,1.9893980135277194,2.954149589716789,1.2390979729826102,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,1.8769647951877033,2.723528114283422,1.1869887796868681,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,1.8109009938503444,2.5757174592898107,1.1796239920435958,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,1.735389248892569,2.4142176184250745,1.1587477775835437,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.688681432956226,2.3310007846186007,1.1562506155509003,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.6816485370121783,2.2785785247816515,1.1671003954932493,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.6916324920202463,2.2528644579452317,1.2075594214720136,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.7256703660942296,2.2483712225328567,1.255658561151202,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,1.7351808778033042,2.23272441423659,1.3027843019633354,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,1.725063943008513,2.1856496371825216,1.3149707339561607,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.6828268451498378,2.1227843053603777,1.3042009396334413,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.627169942484738,2.0263401837898667,1.2753299757916878,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.5548257364480644,1.927459303335217,1.2288710793907875,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.4802606902848239,1.8224108589020316,1.173807886203802,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.395084459717895,1.7097955794017992,1.1112372326818631,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.3016608749361724,1.5937838434727833,1.0407504597021737,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.2039746651389447,1.4730976715098838,0.9641985441366884,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.1061030053752647,1.3544024465173463,0.8806088411753153,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.0057284418925603,1.239377867296677,0.7964348245340382,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,0.9084889202751036,1.127873660572937,0.7146163795440846,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,0.822334552538213,1.0325341605578167,0.636709221121218,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,0.7534620560761078,0.9549018161474406,0.5755455102396729,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.6998050300447194,0.893478740017084,0.5268678888658284,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.6639437560885054,0.8607544692096466,0.4945718963349524,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.6531801062163287,0.8552692192330141,0.4771113787548374,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.6581685811788885,0.8715529194200885,0.47554336856096174,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.6787873068874934,0.9074061650988635,0.485265044065195,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.7167832233709724,0.9585157249701421,0.5078983241704339,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7545326937472486,1.0115028267454107,0.5333178605137195,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7911349247802351,1.0600917130647465,0.5595432023864902,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8191338232829405,1.1019967566254263,0.5749895894783806,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8405604849687845,1.1391706077223729,0.5882164904375384,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.8529557300129424,1.1611512934910937,0.591223626939076,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.8504428805210191,1.1659919267403362,0.5843049007693387,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.8266961497257578,1.1414211957038476,0.565477825339463,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.7885061180654556,1.1064753403156946,0.5297905859967117,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.742164953175987,1.0544349183981332,0.48601109075346266,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6834816360262916,0.9934591148835717,0.4332777434454242,LBN
Lebanon,LBN,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.6352062283154507,0.9413286525838684,0.3876608558546756,LBN
