country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.6471008759255087,1.8205505540812585,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.49914450277136113,1.5747587197313437,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.3736009899305396,1.3679689336644916,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.2906322770174075,1.2447619982922657,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.2420577707474154,1.2428259802900625,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.2153177048582057,1.3644479369153337,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.20405196313480647,1.8810647157486233,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.21081115844949824,2.1370386048318086,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.22995941976502013,2.31103433367643,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.2537501147758818,2.433064804522716,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.28136827889475685,2.4496573082511173,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.3088873414945582,2.85254255124459,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.321900986364593,3.1748126507688945,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.31378457162993273,3.316582485920259,0,LCA
St. Lucia,LCA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.30722597240511895,3.4065249591090083,0,LCA
