region,date,median_R_mean,median_R_highHPD,median_R_lowHPD
LIE,2020-03-06,1.85,4.06,0.5
LIE,2020-03-07,1.83,3.87,0.55
LIE,2020-03-08,1.75,3.6,0.56
LIE,2020-03-09,1.55,2.99,0.58
LIE,2020-03-10,1.68,2.93,0.78
LIE,2020-03-11,1.87,3.26,0.93
LIE,2020-03-12,2.25,3.71,1.16
LIE,2020-03-13,2.05,3.25,1.09
LIE,2020-03-14,1.65,2.69,0.87
LIE,2020-03-15,1.31,2.15,0.67
LIE,2020-03-16,1.08,1.8,0.53
LIE,2020-03-17,0.91,1.55,0.44
LIE,2020-03-18,0.78,1.38,0.36
LIE,2020-03-19,0.7,1.26,0.3
LIE,2020-03-20,0.63,1.19,0.25
LIE,2020-03-21,0.59,1.15,0.22
LIE,2020-03-22,0.56,1.12,0.19
LIE,2020-03-23,0.53,1.13,0.17
LIE,2020-03-24,0.52,1.14,0.14
LIE,2020-03-25,0.51,1.15,0.12
LIE,2020-03-26,0.49,1.18,0.1
LIE,2020-03-27,0.47,1.22,0.08
LIE,2020-03-28,0.45,1.24,0.06
LIE,2020-03-29,0.44,1.27,0.04
LIE,2020-03-30,0.44,1.35,0.04
LIE,2020-03-31,0.45,1.47,0.03
LIE,2020-04-01,0.47,1.57,0.02
LIE,2020-04-02,0.47,1.68,0.02
LIE,2020-04-03,0.46,1.76,0.01
LIE,2020-04-04,0.44,1.84,0
LIE,2020-04-05,0.42,1.94,0
LIE,2020-04-06,0.4,2.01,0
LIE,2020-04-07,0.41,2.18,0
LIE,2020-04-08,0.43,2.46,0
LIE,2020-04-09,0.51,2.89,0
LIE,2020-04-10,0.62,3.3,0
LIE,2020-04-11,0.77,3.82,0
LIE,2020-04-12,0.83,4.14,0
LIE,2020-04-13,0.9,4.6,0
LIE,2020-04-14,0.89,4.8,0
LIE,2020-04-15,0.84,4.7,0
LIE,2020-04-16,0.74,4.41,0
LIE,2020-04-17,0.64,4.03,0
LIE,2020-04-18,0.53,3.62,0
LIE,2020-04-19,0.41,3.25,0
LIE,2020-04-20,0.33,2.98,0
LIE,2020-04-21,0.27,2.69,0
LIE,2020-04-22,0.23,2.58,0
LIE,2020-04-23,0.22,2.54,0
LIE,2020-04-24,0.25,2.82,0
LIE,2020-04-25,0.3,3.48,0
LIE,2020-04-26,0.39,4.46,0
LIE,2020-04-27,0.49,5.66,0
LIE,2020-04-28,0.61,6.97,0
LIE,2020-04-29,0.72,8.23,0
LIE,2020-04-30,0.81,9.28,0
LIE,2020-05-01,0.88,10.07,0
LIE,2020-05-02,0.93,10.61,0
LIE,2020-05-03,0.96,10.96,0
LIE,2020-05-04,0.98,11.17,0
LIE,2020-05-05,0.99,11.29,0
LIE,2020-05-06,0.99,11.36,0
LIE,2020-05-07,1,11.4,0
LIE,2020-05-08,1,11.42,0
LIE,2020-05-09,1,11.44,0
LIE,2020-05-10,1,11.44,0
LIE,2020-05-11,1,11.45,0
LIE,2020-05-12,1,11.45,0
LIE,2020-05-13,1,11.45,0
LIE,2020-05-14,1,11.45,0
LIE,2020-05-15,1,11.45,0
LIE,2020-05-16,1,11.45,0
LIE,2020-05-17,1,11.45,0
LIE,2020-05-18,1,11.45,0
LIE,2020-05-19,1,11.45,0
LIE,2020-05-20,1,11.45,0
LIE,2020-05-21,1,11.45,0
LIE,2020-05-22,1,11.45,0
LIE,2020-05-23,1,11.45,0
LIE,2020-05-24,1,11.45,0
LIE,2020-05-25,1,11.45,0
LIE,2020-05-26,1,11.45,0
LIE,2020-05-27,1,11.45,0
LIE,2020-05-28,1,11.45,0
LIE,2020-05-29,1,11.45,0
LIE,2020-05-30,1,11.45,0
LIE,2020-05-31,1,11.45,0
LIE,2020-06-01,1,11.45,0
LIE,2020-06-02,1,11.45,0
LIE,2020-06-03,1,11.45,0
LIE,2020-06-04,1,11.45,0
LIE,2020-06-05,1,11.45,0
LIE,2020-06-06,1,11.45,0
LIE,2020-06-07,1,11.45,0
LIE,2020-06-08,1,11.45,0
LIE,2020-06-09,1,11.45,0
LIE,2020-06-10,1,11.45,0
LIE,2020-06-11,1,11.45,0
LIE,2020-06-12,1.03,11.74,0
LIE,2020-06-13,1.13,12.86,0
LIE,2020-06-14,1.44,16.08,0
LIE,2020-06-15,2.09,21.39,0
LIE,2020-06-16,2.99,26.37,0
LIE,2020-06-17,3.37,26.2,0
LIE,2020-06-18,3.33,22.55,0
LIE,2020-06-19,3.02,17.12,0
LIE,2020-06-20,2.54,15.77,0
LIE,2020-06-21,2.23,12.48,0
LIE,2020-06-22,2.13,11.35,0
LIE,2020-06-23,1.95,9.89,0
LIE,2020-06-24,1.75,8.64,0
LIE,2020-06-25,1.53,7.51,0
LIE,2020-06-26,1.3,6.48,0
LIE,2020-06-27,1.09,5.57,0
LIE,2020-06-28,1,4.89,0
LIE,2020-06-29,0.9,4.49,0
LIE,2020-06-30,0.88,4.5,0
LIE,2020-07-01,0.92,5.2,0
LIE,2020-07-02,1.01,5.63,0
LIE,2020-07-03,1.07,6.41,0
LIE,2020-07-04,1.42,7.07,0
LIE,2020-07-05,1.54,7.22,0
LIE,2020-07-06,1.49,6.71,0
LIE,2020-07-07,1.51,5.99,0
LIE,2020-07-08,1.42,5.77,0
LIE,2020-07-09,1.23,5.33,0
LIE,2020-07-10,1.11,4.88,0
