country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.653361393287834,2.3859999811797965,0.9207228053958713,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.3750473511544874,2.0079187609743827,0.7421759413345922,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.159208049657444,1.7239166120492382,0.5944994872656497,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.0028402872751798,1.5154783411970434,0.49020223335331614,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,0.8917822073169384,1.3716316668097068,0.41193274782417,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,0.813888323837115,1.2809101314848101,0.3468665161894199,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,0.7681340131559734,1.2276133038157804,0.30865472249616643,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,0.7572144637383379,1.212185816733929,0.30224311074274685,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,0.7724119926292587,1.227099931213003,0.3177240540455143,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,0.8061876146546388,1.2616077538494725,0.3507674754598052,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,0.8550966818886311,1.3144975360711293,0.3956958277061329,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,0.9131026772697426,1.3806614804113355,0.44554387412814955,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.9661994791374482,1.4502420860080012,0.48987152928721434,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9977506804289084,1.495424471767447,0.5078055798906893,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.0096009565182424,1.5407933931061117,0.47840851993037314,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.006848375049207,1.6088708197301522,0.40482593036826164,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9931105447928222,1.687224769204873,0.2989963203807715,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.9670396436107103,1.723299370941524,0.21077991627989645,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.9320551526361487,1.6747593473758413,0.18935095789645617,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8999184239894251,1.5879869673233258,0.21184988065552457,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8835444040742862,1.5430623455523693,0.2240264625962033,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8887986365888659,1.568338579372805,0.2092586938049268,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.913915995359308,1.6188249608252585,0.20900702989335762,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.959334674716352,1.6633754783204777,0.25529387111222623,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.0290822694437118,1.7522774948957083,0.3058870439917153,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.1367668522804826,1.9246026645032148,0.3489310400577502,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.2825848559720783,2.1786516697146467,0.3865180422295096,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.460370518160866,2.4821325054056755,0.43860853091605656,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.6639223902032103,2.726285707522564,0.6015590728838567,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.8846535845809687,2.9114669488707796,0.8578402202911577,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,2.1012302637279636,3.1564663680914515,1.045994159364476,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,2.2597307734258205,3.359126609861305,1.1603349369903362,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,2.3190611785855433,3.3602841656581477,1.277838191512939,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,2.280273708181362,3.218069155897065,1.3424782604656598,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,2.1823992609855196,3.089011516202436,1.2757870057686032,LKA
Sri Lanka,LKA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,2.0487914373053275,2.992251755295787,1.1053311193148683,LKA
