country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-08,2.3798951471916627,3.1940832962223813,1.6841285738471612,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-09,2.216387114495118,2.916748142140431,1.6110707009186647,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-10,2.068883310589666,2.6784248361087863,1.5371180472603585,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-11,1.9365833451210321,2.472874164922664,1.4650665188218603,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-12,1.8208113362630858,2.2979039192356328,1.3985693699081556,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-13,1.718299572568138,2.1470900109304147,1.3366973656953902,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-14,1.6237482142878046,2.01241478211894,1.276280748397677,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-15,1.5350041741756453,1.8899375999516457,1.2165370790409977,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4533231242737317,1.7799336250772184,1.159414551530109,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-17,1.377480367373144,1.6802074963672085,1.104455449927788,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-18,1.3036442287952326,1.5858622688140802,1.0487396456939992,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2296253829196222,1.4939620324675489,0.9907091172427224,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1561015131084997,1.4048718464694123,0.9312755713181614,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0842822171631743,1.3196506712693883,0.8717494264070704,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0133558895619723,1.2371817484652183,0.8115912703936932,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9475534662758174,1.161949904033016,0.7547559050258503,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-24,0.8927487213498301,1.1003420193292441,0.7065927679075122,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-25,0.8484672281598787,1.0517563261524123,0.6667458288395283,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-26,0.8092731259978333,1.0100114835345877,0.630506947323997,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-27,0.7722820368339547,0.9717038478980816,0.5954899106819014,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7405267709531503,0.9401198907196395,0.5644665935480306,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7150447799340751,0.9164426204474317,0.5383409132689226,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-30,0.6928327090101227,0.8973053862398559,0.5144896072773834,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-03-31,0.6747399446548215,0.883665663920184,0.4936661796385766,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6683740933699591,0.8843032492344565,0.4823218586206141,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6813623211621455,0.908198325519923,0.4867460692292756,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-03,0.7140630509097295,0.9558553781753676,0.5071261953851471,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-04,0.7575568931506583,1.0166377429640479,0.5361476169678632,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7990431759523732,1.0750043670388085,0.5635510449020517,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8313084363906914,1.1218157756390355,0.5838408097030808,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-07,0.8590313299446093,1.162088106897466,0.6012439034625007,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-08,0.889667243763016,1.2045367809709762,0.6219618603692197,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9225930010575406,1.248607358353291,0.6453464032018951,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-10,0.9545024142511241,1.2904397907416443,0.6686426693808734,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9866988749635636,1.3314072769285987,0.6930472600733079,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-12,1.019723395527259,1.3720330106647798,0.7190961250821809,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-13,1.0422749093515755,1.3991612816416903,0.7373362873315776,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0408382551639503,1.3971762791767093,0.7363610321879116,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-15,1.015428597964147,1.366397894762476,0.715963300539401,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-16,0.9774361767589423,1.3207004953894121,0.6852457902042624,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-17,0.9392928685618117,1.2753446421010306,0.6540515497595745,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-18,0.9049595720349178,1.235541004223444,0.6252678328915887,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-19,0.8740159394348764,1.201008887002671,0.5984052809242583,LVA
Latvia,LVA,data.gov.lv,Confirmed cases,Cori_slidingWindow,2020-04-20,0.8479822317723883,1.1734984164712952,0.5747570885093238,LVA
