country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.5997321334186605,2.6579979374294735,0.8076274576422005,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4717873476716699,2.4210584568076277,0.7565343963286622,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.3617812381251149,2.225778774934858,0.7080216458847992,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2620697131563923,2.0575562471445137,0.6591417513254837,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.177391383125465,1.9191105700850206,0.6151397954229215,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1128665872497316,1.8148494410825602,0.580912313405402,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0643089933898986,1.7377759255550833,0.5543716566795627,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0233676843088155,1.6756435753311714,0.5303907036677532,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9890545363756339,1.6258717951558923,0.5090133551928844,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9608783818691259,1.5869923095088547,0.49036971106048444,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9388645804052871,1.5585384482270555,0.47476392482988994,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9202450400500662,1.536548288914056,0.4604549639080074,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8990212886955133,1.5128528394254315,0.443456729342565,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8680464962434616,1.4777642936560738,0.4190556297368843,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8219874854280879,1.424011021511425,0.3839007240911441,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7631848784715742,1.3545976638706678,0.3399661439637955,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.693448547077165,1.2720732770353285,0.2888892834069054,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6184061691405601,1.1841936215839486,0.23493790250315405,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.5454262386307851,1.1014474209843614,0.18331164789136406,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.47771618715549746,1.0289530782762537,0.13642893170516998,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.41347374386406005,0.9644296126339725,0.09418890799542495,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.3508543332977052,0.9047053828667351,0.05735036551177448,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.2930260748340368,0.8542929984878697,0.029117225147458636,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.24015239816796424,0.8130278994393159,0.010823248616990487,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.18851446746600353,0.7710681555604804,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.14266619341382655,0.7317237047519499,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.11472430438218799,0.7277230126034756,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.11359962365735794,0.8181354117962475,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.13929263682984805,1.0479304323308156,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.18500145973306276,1.4170251832615128,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.24992171117159606,1.9398037067106844,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.33729076116246487,2.64013042738011,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.4514800019483624,3.5306097881518475,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.5890164749550224,4.563738550865235,0,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.7400741958552759,5.641443971879436,1.616896802505731e-8,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.8868909928913761,6.625865389822336,4.498226732620455e-8,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9941366775306337,7.324782918031446,8.750408366160413e-8,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.0345170680386222,7.618807942734538,9.269866189883047e-8,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.0536060958045046,7.729224554984467,1.0975112938150482e-7,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.0960580594220646,7.886900155829141,2.3491699523988864e-7,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.1350972423721433,8.005651195294828,4.939101005354687e-7,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.1297927575819127,7.925260967082459,5.910188135312339e-7,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.1249193322597795,7.8249211597285235,7.795494926677762e-7,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.1485394592316018,7.826663271302498,1.5393679713028967e-6,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.1859362218171614,7.877349084601451,3.4360408455916017e-6,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.2278074398222338,7.930856319302563,7.786125528500146e-6,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.2789979056906629,7.989595528083009,1.9287674814047726e-5,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.333267849367443,8.022130258864854,4.877629300231011e-5,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.3599095926192573,7.926206415637325,9.912489704958928e-5,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.3724754889211705,7.754152937833194,1.868021215408734e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.3748577393494206,7.533583438557424,3.306097425469404e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,1.3436634841323942,7.212143358568485,4.6374111043064633e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,1.2769525781746096,6.799295887211529,5.047486743852584e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,1.227063643531425,6.460083490813744,5.848427958690241e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,1.2203875471856744,6.278674370593218,8.383066210887532e-4,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.244433820750366,6.211647286426833,0.001342154035386306,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.2705742586034352,6.160945551812522,0.002051847676056452,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.2727640459834586,6.041985984668661,0.0027166979296391197,MCO
Monaco,MCO,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,1.2375082593648052,5.818156815833275,0.0029858537331907808,MCO
