country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.0951887927698283,2.9021116353970955,1.4154196322746744,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.073095119513613,2.8180943830110734,1.436835575176797,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.9813919098252137,2.6406218176716143,1.4057464949647003,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.9339234114059678,2.5320515747404757,1.407152597748878,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.891370134013245,2.4453130337613422,1.4168450778403656,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.8818124072180082,2.3912073221762205,1.4411657290828628,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.8961304637081704,2.3681749319907124,1.475286441553584,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.9379730030963305,2.3921998395169557,1.537821648477384,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,2.006572045084316,2.4279120977561983,1.6274481410018964,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,2.071392651786748,2.466774356873885,1.708581590589162,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,2.1194355153164026,2.480497025796366,1.7877084314504434,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,2.1121833288739937,2.4502134747989817,1.7976580453313862,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,2.0577800668688497,2.358589100074572,1.7723449080395064,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.9889028702654237,2.2662135604949407,1.732514507811448,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.913835141755616,2.158056201979943,1.6818655493019785,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.8154540409433044,2.039699410447978,1.6053463905728098,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.714558305360924,1.9163764917749326,1.5235844513793098,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.6140839969100158,1.7979574366577107,1.4404321291903759,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.5241991755783706,1.6905072127020009,1.36563920744645,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.4308345860233846,1.5833427443284558,1.2835363065982432,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.3413615249236797,1.4844793480974887,1.2072724865836355,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.2678638808327134,1.399237386947086,1.1415992151520677,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1927930964884088,1.3173998432883736,1.0780321553602945,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.130156947215234,1.247349114782997,1.0194094870537047,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.0821706424494093,1.1940430995285303,0.9745575544451448,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.0393732105088918,1.1480535968932073,0.936026502691818,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.005378818070956,1.1115329152365971,0.9068829809583766,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.9811640555439285,1.0853308515231779,0.8822979298938485,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.970195813569672,1.0729747765783415,0.8714128117685086,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.974751783556331,1.078279834538049,0.8763806987258788,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.992678341646515,1.0964590271590557,0.8939900727880812,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.0115281531215268,1.1168871959276925,0.9104951245301703,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.0258829338607187,1.1325225008719553,0.9245273612631892,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0393467793160731,1.1468041616529245,0.9371696142123311,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.046094341204443,1.154087461854744,0.9444511562313356,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.0492255762949347,1.1544425620816652,0.9489349823560521,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.0501391925659573,1.1573750705181671,0.9480486237885422,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.0389897789825326,1.1454044039945224,0.9371899005754257,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.0194355246100952,1.123293598547857,0.9198476232916672,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9959076761421263,1.099633426146321,0.8982211235598107,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9721371530040434,1.073299764710809,0.8760794069136177,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.943029394993119,1.043325969541593,0.8477353597211331,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.9178366911710312,1.0161893009731553,0.8230296573844957,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.898430465522216,0.9965084009256022,0.8054079993760892,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.8913860823440155,0.9895351866868493,0.7968128911081848,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.8918506571142564,0.9901347331997162,0.7981007868850695,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9048820014245215,1.0048235576028006,0.8090500333870103,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.9262550765584229,1.029593141029801,0.8277348962460283,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9604810899085593,1.0674155663518294,0.8588400966651737,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,1.0079050291535223,1.117606317780406,0.9037503625059716,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,1.0673022655374493,1.1825610846797883,0.9587985368181583,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,1.1268937889182984,1.244975403302799,1.0150395644753658,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,1.1729635882687812,1.2935085605052736,1.05938043305935,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,1.1988036025546396,1.3182249242408854,1.084978400315165,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,1.2041344459890029,1.3224604960063358,1.0923119897483027,MDA
Moldova,MDA,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,1.2040209021577644,1.319635137043852,1.0936374991376334,MDA
