country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.628252658777894,2.43468220558007,1.0022289013899777,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.704690833379435,2.474347227046046,1.055266887583178,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.7086293529219487,2.4104747408597857,1.0951117799230747,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.6923738257278957,2.3704155065470536,1.1457829116873826,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.6773834035778665,2.311447842654463,1.1508709202192742,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.67110713674518,2.245946612305901,1.1641890316625363,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.6342076428881045,2.206277851257102,1.1805749524530316,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.6205962289938278,2.143465621224481,1.1640381453960127,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.5740323814840538,2.056022584557386,1.150485426328955,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.5071972220268743,1.951350678543702,1.1217257841765926,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.4398532157389106,1.8531420001735648,1.0814880417156756,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.3874494189226287,1.774042785373218,1.0380668217530231,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.342590896189751,1.7038626124320384,1.0171779942155401,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.3074683141309393,1.660453551483361,1.0096559518074313,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2845362414210213,1.6199161616862168,0.9946177776988645,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.2718252245231947,1.591021708113556,0.9920307754070036,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.254745945331378,1.5622938429247544,0.9820807233198314,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.234495037793515,1.532958344488097,0.9679556202757571,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.2066270125535279,1.5026959950946375,0.9463625639700627,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.185599825134352,1.4658567509349465,0.9348373177126067,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.1615578035883243,1.4327555094601034,0.9163211728651227,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.1313610485255348,1.3934877998455268,0.8969961285201492,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,1.1040293734738096,1.356427003248982,0.8738044067667212,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,1.07205382167712,1.3219887942092339,0.8478665636257278,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,1.0373000835193895,1.2770838043791353,0.8206454316694289,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,1.0014665442044157,1.2344758874727588,0.7919895014077165,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-25,0.9649010190902222,1.189542633684575,0.7613050941604145,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-26,0.9233050568283359,1.148060059241731,0.7258259371975019,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-27,0.8943765225535751,1.1186056599412184,0.6990989105276626,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-28,0.8670411533442248,1.0853491881455266,0.6729515113088466,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-29,0.8464722921130549,1.0646668261785976,0.6529986550817879,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-30,0.8387781626641829,1.059598646730711,0.6428817129780352,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-01,0.8482288453699792,1.0771451952226818,0.6495270289522906,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-02,0.8692633481968994,1.1040256034936373,0.6622302308031345,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-03,0.8934010709957083,1.1370857968198125,0.6800701655844824,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-04,0.9221270609285681,1.1711195172465576,0.7025374510454833,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-05,0.9588719143607611,1.2143788439949066,0.7312134119936767,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-06,0.9921264119666348,1.2554653480030555,0.7605280006115781,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-07,1.0269960731412346,1.2985264471034468,0.7898897106356738,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-08,1.068128687243563,1.3389876531977005,0.820444157129953,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-09,1.0988655639876237,1.3731810700489784,0.8509936229005431,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-10,1.1218991975866506,1.4014901491839282,0.8770778080184528,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-11,1.147360718344564,1.43081018357172,0.9008059084876798,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-12,1.1675973786755949,1.4478513869318204,0.9171247267843483,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-13,1.1792713019441499,1.455438545481889,0.9273484718747955,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-14,1.1870351175498268,1.4532809704319394,0.9419036229889325,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-15,1.202558963719307,1.4739488823106677,0.9584454001812132,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-16,1.2121339349847902,1.4768729337462447,0.9721316169600046,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-17,1.2221929075753017,1.4822172456685585,0.9825631204001614,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-18,1.2189642170183868,1.477805527527752,0.9831425696576542,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-19,1.2134700336694362,1.4625282324981432,0.9859544743287525,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-20,1.1972665220143575,1.4390796609080112,0.9804900360772948,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-21,1.1896507493986503,1.4277178348924844,0.9730288338987333,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-22,1.1888680154158071,1.4234901485429667,0.9767577273530708,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-23,1.1795227961529773,1.4038101251913397,0.971716600690512,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-24,1.1516795680641736,1.3741864532869397,0.9487937572486085,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-25,1.119446893440034,1.3336653828541216,0.9238690265102293,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-26,1.0876346002301716,1.2938968078662167,0.9000833867548798,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-27,1.0612978814535066,1.2630872757469336,0.8768523640053281,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-28,1.0437894199614453,1.239771053705846,0.8635359880885716,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-29,1.0358206927404365,1.2295371430856517,0.8585030215824426,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-30,1.0359397546465292,1.2304314179562246,0.8561884754473219,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-05-31,1.0312213785783921,1.2225070340441115,0.8549856788085058,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-01,1.0170935188284216,1.208883930741748,0.8411533440915796,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-02,0.9937952779179997,1.1834406850505532,0.8230549190751456,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-03,0.9676222572124147,1.1546180686250926,0.7997230098491825,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-04,0.9415016454018175,1.1251065641450544,0.7752305090017643,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-05,0.9035553815640702,1.081303996026821,0.7409049921173333,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-06,0.861736765767528,1.0380620501639355,0.7019776334349016,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-07,0.8168499346207858,0.9896391323874261,0.6620313689046553,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-08,0.7789486346837674,0.9530794578453605,0.6216402740019085,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-09,0.7422039817076528,0.9140500771769814,0.5864329096608053,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-10,0.702163417041159,0.8710542540235903,0.5483151438810938,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-11,0.6729401031861797,0.84767494113897,0.5186105547157851,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-12,0.6721236925626932,0.8548903387585794,0.5136830504115918,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.6948732264179235,0.8824998078130772,0.527860770092913,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.746790704343806,0.9475085006477718,0.5628834943405251,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.8118277466058877,1.031373798659977,0.618244701440774,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.9013795169942496,1.1439055135718874,0.6855387671690748,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-17,1.0111693586273844,1.2746461293254612,0.7773578703570777,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-18,1.113510612951831,1.3929015375628193,0.8689356776424025,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-19,1.1972279766376335,1.482912567481516,0.9356603560845859,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-20,1.246262793263622,1.5314976490339727,0.9873153205276889,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-21,1.2553173378165514,1.5425354954283326,1.0063771922564628,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-22,1.244525110382721,1.5265062577846549,0.9916392643762733,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-23,1.188241369755147,1.4592946273451743,0.9501517151724839,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-24,1.1063012592980763,1.3590015508398139,0.8778274396380733,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-25,1.0119963718488698,1.2518160031489054,0.7984404268925765,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-26,0.9232631121976915,1.1496765032534562,0.7266974028712798,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-27,0.8450971759920118,1.0606730707990646,0.6556735641171221,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-28,0.7795972610783909,0.9873444045471764,0.5966095211000324,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-29,0.7245696106516072,0.9288151827008052,0.5473893923056175,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-06-30,0.6801785872144096,0.8840799872268863,0.5038554095488684,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-01,0.6423409252063085,0.8467746410696527,0.46659140167260055,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-02,0.609458156821273,0.8162004320420424,0.4355226402543255,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-03,0.5911313127888074,0.8034994890953365,0.41205888068810687,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-04,0.59141097471692194,0.8120707439488674,0.4056338775697516,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-05,0.6033479093963463,0.8398691580991129,0.40834197360946056,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-06,0.6194021950456747,0.8739873223073295,0.4121054962897388,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-07,0.6464448528535202,0.919241172037305,0.42196274162169584,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-08,0.658996701081863,0.9511186238034081,0.4208832868629909,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-09,0.6690030346570761,0.9769477609981518,0.42468362611490434,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-10,0.6838429268840015,1.0041207930619649,0.4283046339682059,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-11,0.6902068530600032,1.0287203477297688,0.4202862526485864,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-12,0.6932038421689908,1.0540394298594766,0.4152701244142424,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-13,0.7188566199957622,1.081280850643303,0.4144537246048804,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-14,0.7199180578467625,1.1131820494181377,0.41113497388387893,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-15,0.7221319634885079,1.1340835217387213,0.4093025755416548,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-16,0.7246433939043808,1.1278004802501607,0.4004235436515609,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-17,0.7114038456199551,1.1422182843507147,0.38765727289451773,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-18,0.7152512260419005,1.1723221558088346,0.3808217552401792,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-19,0.7473354820877851,1.2092275696494503,0.38148913130021517,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-20,0.7696508433645963,1.2645338589587953,0.39745897821559634,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-21,0.796119614525367,1.328653241150752,0.40625979592244926,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-22,0.8209425156105618,1.3940797720153337,0.4110204263644496,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-23,0.8450837740216027,1.4215388788013643,0.41194328179887946,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-24,0.8755038500982665,1.444284200379742,0.42967717397347716,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-25,0.8989984764726946,1.5036518770063643,0.4494615043561454,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-26,0.9408566281492624,1.5956269785978934,0.46695771064139957,MLI
Mali,MLI,ECDC,Confirmed cases,Cori_slidingWindow,2020-07-27,0.9840843515818881,1.6483543887473584,0.48571937673868065,MLI
