country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.3363296213246008,2.9046703200624298,0.37244057564571387,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.4302161921781769,3.009558535119308,0.4340544214732273,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.454432194545078,2.993276461343383,0.4667752132566672,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.4068213394519493,2.861128855550394,0.4648154632838296,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.3339712234583794,2.6914626671807667,0.449289410682134,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.259238117440505,2.526972392152014,0.42963191824408176,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.1832176386750732,2.3721392990453243,0.40461711919452703,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.1048266767502044,2.2250448155699836,0.3737512538980851,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.0180001439408035,2.0755586400899753,0.3343042853590892,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.9146337159023684,1.9104683464355532,0.28284976188668304,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.8000415013444657,1.7359542494314424,0.22402449375033026,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.7005052811519261,1.590793412261253,0.1727406868041846,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.640858374669932,1.5155733048632685,0.11716090340698437,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.6382184337006706,1.5415105115441532,0.07935870596900452,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.7158422045788712,1.7074321492286901,0.1278965718234919,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.8757813943428667,2.010170296413673,0.209329718006568,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.0854219793935782,2.38292161366539,0.29442706663779633,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.2845432274465642,2.71412092510629,0.3857634860195247,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.4283615790855655,2.9235077228748416,0.4646535119531731,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.4987270288678607,2.987503030496712,0.5195020782499263,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.4986872467749377,2.9268490897628756,0.5447413485583313,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.4383292896657776,2.773579320574455,0.5380006145147166,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.345692416838699,2.5791621795755524,0.5102393831997477,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.2475033517888836,2.3872567348619214,0.4746422832895082,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.1446636372982653,2.2012189142341634,0.4308003857276533,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.0453623584895928,2.0319103081762115,0.384069914660485,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.9589060227203626,1.8912453574168229,0.34073130160867593,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.8997071395183717,1.798859181391486,0.2268605790605761,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.8802394835933001,1.7720587904297231,0.1613520061991366,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.9100965509240108,1.82325031775498,0.17177781437834116,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.0460694949964753,2.028892591294448,0.30528164711799133,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.321328762360188,2.4217720288320206,0.5514532731734278,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.8176880215500577,3.0829034022794684,0.8836416396322685,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,2.5728128220819113,4.011340759947976,1.450555808650816,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,3.4059098444962657,4.93287570335534,2.158731891178764,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,3.86197934982859,5.301215038504994,2.6481408001482643,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,3.8011259766408902,5.020815762864964,2.69465754137138,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,3.4182832279307775,4.4555207768128815,2.3810456790486736,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,2.937249356308515,3.861914222362182,2.012584490254848,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,2.492617300341164,3.3162945874212015,1.6689400132611265,MWI
Malawi,MWI,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,2.1316902449164545,2.89302277169332,1.3703577181395892,MWI
