country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,3.1650950937010625,3.9198569234361775,2.490067658060122,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,2.877219735561905,3.495480432818413,2.31359201546211,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,2.558451549358438,3.0754252105835302,2.097226396919055,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,2.2641884199570956,2.691112143235893,1.87140566169072,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.971744688337342,2.3286148525999986,1.649537585336057,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.725725144878694,2.029419521071829,1.4497698015583318,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.5167227320642052,1.7773086368956421,1.279246339221507,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.334391995574552,1.5619140079246667,1.1250633337443112,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1697453037283716,1.3774348686756848,0.9818819056085668,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.023657596671753,1.2047293895555713,0.8545038739779188,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.892159261506844,1.0581815552055989,0.7374620373926324,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.7796050923270764,0.9349638617828354,0.6362833221276888,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.681930017182721,0.831576970464362,0.5483153206906881,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.5985211245061445,0.7414157044847505,0.4709922524313274,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.5299064022630857,0.6675826471627923,0.4075266558257888,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.4747759011955666,0.6134449670074569,0.35513087151710676,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.4359000646233303,0.5758527643226251,0.31487398175883147,NER
Niger,NER,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.4114183874312975,0.5579080158159332,0.28809981428109904,NER
