country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-01,2.887640099469054,3.280861772902088,2.520961553764068,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-02,2.579180143610343,2.9057568274971173,2.2784071516473707,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-03,2.310507477872827,2.5763542911605217,2.0586046532381115,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-04,2.0757002899178714,2.3000642819310935,1.8586394634981407,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-05,1.8708364000518924,2.0673372249019115,1.6854572306844733,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.7155059290151464,1.8865409687618013,1.5507468484949634,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.598793952090889,1.7534826887143853,1.4533273261828128,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,1.506406124765017,1.6459485755070842,1.3739215340989877,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.443249188458781,1.5756191943197004,1.3203529170654682,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.4009353291897328,1.5237755814521348,1.2836179539366348,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.3741463614405602,1.4908937781811735,1.2632966605087361,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.3572433092252438,1.4695026898935808,1.2511984695977603,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.344354508436588,1.4521302821095123,1.240637104719779,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.3344595958609815,1.4362158159973835,1.2353563398932856,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.3254627714680682,1.4247636680311355,1.2297287543154916,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.3051695434644304,1.4003798012468391,1.2132667509940955,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.2706140735895597,1.3617150426901565,1.1824056660675473,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2288981095747253,1.315908993288434,1.1447434251472735,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.1853449393884465,1.267669341266595,1.1051547355201674,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1381707520626112,1.218044009741774,1.0618826841314204,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0867100641486045,1.1642001897686236,1.0137588185696387,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0304170302472901,1.1039574036908664,0.9594562756124332,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9736988863601288,1.0452040302942875,0.9043079108060197,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9148451925430299,0.9831362312629045,0.8489798258003737,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.8583276867157451,0.9245718257744412,0.7945134274632786,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.807238413644484,0.872169551652809,0.7449171617037625,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.764658468396433,0.8287181305983536,0.7030825796017705,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7324357539841838,0.7959821705250654,0.6714981110166439,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7044538685861417,0.7679410691388044,0.6432596596314168,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.6782381682101143,0.7432184675770203,0.6163537319108683,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.6562117118144587,0.7222678050207039,0.593188272637403,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6393327895433726,0.7069249880716068,0.5749267820880751,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6261774203920634,0.6959226033594762,0.5606118004747828,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.6248788188906315,0.6973052217540487,0.5563722876651682,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6367051864326249,0.7137990524264297,0.5632625604736927,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6612000301163,0.7430921836748712,0.5837688078832509,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6953450753438052,0.785905840168136,0.6098856349910061,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.733970949365229,0.8281897820060691,0.643499947127567,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.7723221996335172,0.8740886567572189,0.6767731405666116,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8084620798127286,0.9159151316062661,0.7074414188259095,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8413421204980293,0.9542397167079925,0.73434727543281475,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8629395760092876,0.9787159854390873,0.7540357605260131,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,0.8728773341226014,0.9918951495481549,0.7603604275029149,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8745345283664069,0.9971934707208013,0.7623012178262648,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,0.8642251313647307,0.9870439385501105,0.7516989799625248,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.8473486872599426,0.9708391636971778,0.7326959326391835,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.826945259163637,0.9497650754600802,0.7114532778982645,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.8069200577928239,0.9295744272355634,0.692412836159123,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.789962936286927,0.9135038971339046,0.6731630166148506,NOR
Norway,NOR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.7757793905004159,0.899868649521136,0.6579294530527071,NOR
