country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.351322985151757,6.389650927146166,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.008496221069023,5.074167303522067,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.7708386363347632,4.411458887077381,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.6087091844812533,4.238473633392511,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.4933188004709188,5.417322867006621,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.4131066505388095,5.62522504582204,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.3689399931342718,4.91854523744464,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.3570039836830368,5.232343505338449,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.372436888307222,5.863698840826805,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.4147673967456273,5.353044665502667,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.4807827383495902,6.799110834965386,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.5865738950248085,12.939418095824934,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.7562873410910673,10.652173740759512,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.9936900199198813,7.503482058080127,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,2.258068369210637,6.380113971544712,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,2.4791280099433184,6.431993254641354,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,2.6178098619518333,6.411817639058422,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,2.6817229754843153,15.62952800184529,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,2.6782212407823422,23.296572132127874,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,2.598008559094572,15.906456870310441,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,2.444036352645036,9.119682704818203,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,2.245809123435605,6.061168303314488,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,2.0360852180882065,5.112744242931006,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.829945976757064,5.789166527375095,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.6335792383685226,10.409229593823522,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.458386499078939,11.809221762438668,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.314957427279169,7.626993939449036,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.2035990174008644,4.632137378853553,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.1243280536737796,3.451171025589055,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.0790144490150213,3.3674600341643375,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.0678129032959947,3.5067018704134227,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.0835663071925148,3.7678282033823614,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.1179054904472692,4.855161534337579,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.1691194613963285,5.103355872038549,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2379480586493044,5.1986502685069524,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.3171553822375373,5.035744391269408,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.3931368098481367,4.458685086853405,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.453553375007082,4.460952593603609,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.4912114913688508,4.697404600971652,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.5037750789706312,8.58726043868516,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.491457050992635,11.74339404419694,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.458683075382299,6.928913369062367,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.4125157903126622,5.313771851522738,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.3586297338452504,4.694598172194587,0,PER
Peru,PER,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.301277811801019,4.316721805837724,0,PER
