country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,3.0134985832096945,3.5539164376513477,2.5170934049079805,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,2.7461710476960066,3.1909193848879998,2.33437955381887,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,2.5339724011490374,2.9077953852611174,2.185542093559323,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.361540547709127,2.6812479958785462,2.0618691583968474,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.2176755760020397,2.4950693441908687,1.9564173978353472,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.0944812186524544,2.338077600143973,1.8641118307910223,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.9876661952794958,2.2038386266996346,1.7775037444020243,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.8958146325304586,2.100147915109296,1.6914813499516208,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.8185139270572057,2.0113227747858793,1.6257050793285321,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.7548840475201082,1.926225521117007,1.5835425739232094,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.7036542494486373,1.8586912284280726,1.548617270469202,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.6630133120266348,1.8173839925758433,1.5086426314774264,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.6305975305309584,1.7892198632644083,1.4719751977975084,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.6038890186305648,1.7620173659105791,1.4457606713505504,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.580529592911875,1.7362277717620986,1.4248314140616514,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.5548158402822991,1.7098470002154782,1.39978468034912,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.5203717807412498,1.6728059501705244,1.3679376113119752,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.4748762006676677,1.6201455899725699,1.3296068113627655,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.422063530595326,1.559543714840149,1.284583346350503,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.36559264690457,1.497933677307317,1.233251616501823,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.3049199371323361,1.4314334760023784,1.1784063982622939,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.2386829727018644,1.358210453071578,1.119155492332151,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.1702692427110346,1.285736826506041,1.0548016589160283,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.1068534876300604,1.2206492240942164,0.9930577511659044,POL
Poland,POL,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.0536071939035963,1.1637622328979813,0.9434521549092111,POL
