country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,3.8220387896277574,4.555489716294009,3.0885878629615067,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,3.6074001777517224,4.234426674394048,2.9803736811093966,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,3.396859771001845,3.9620536704683533,2.831665871535337,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,3.1998813500906444,3.7819978756926735,2.6177648244886154,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,3.0185163846261793,3.613745588927572,2.423287180324787,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.8519052400886014,3.4103193341614295,2.293491146015773,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.6977989632924397,3.2108748511371217,2.184723075447758,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,2.54437341322416,3.0236561197697385,2.0650907066785815,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,2.3828229919831108,2.8208003745204278,1.9448456094457938,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,2.216405683445964,2.6114159403706565,1.821395426521271,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,2.057694815866202,2.4304451373447087,1.6849444943876952,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.911720343996456,2.2726759524537345,1.5507647355391776,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.7735007858925798,2.1093819647939007,1.437619606991259,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.638843169297401,1.9346446774149184,1.3430416611798837,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.5094380250844714,1.7683570883215187,1.2505189618474242,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.3921609986564312,1.6273279675439418,1.1569940297689205,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.2916116291047428,1.5067348444548416,1.076488413754644,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.2085242239225846,1.399801766889669,1.0172466809555003,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.13988776580331,1.3094467934813256,0.9703287381252943,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.0831930969712456,1.2428077744602943,0.9235784194821969,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.0381556069785514,1.1964987746507556,0.8798124393063471,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.0045471654942977,1.1635877626329363,0.8455065683556591,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.978258704028279,1.1391764253224994,0.8173409827340584,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.9533549665228528,1.117026193617338,0.7896837394283676,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.9269941250869829,1.0905138541754866,0.763474395998479,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9016194361604776,1.060953207406119,0.7422856649148362,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.8828630433338194,1.0378647913032408,0.7278612953643979,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.8733577709724735,1.0255814357353406,0.7211341062096063,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.8708445718590806,1.0198019657344963,0.7218871779836649,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.868016201670062,1.01145830074968,0.7245741025904439,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.8590677150838767,0.9978674827094294,0.720267947458324,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8448032807283992,0.9832433876692153,0.7063631737875831,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.831492426565721,0.9734812072115016,0.6895036459199404,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.8271822159945263,0.9747610652135963,0.6796033667754564,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8332579512413654,0.9881167734748727,0.678399129007858,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8448734800199629,1.0062980400216222,0.6834489200183035,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8551973087944934,1.0187896582041402,0.6916049593848467,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.8604408560986989,1.0207489224310737,0.7001327897663242,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.8601854570109985,1.0132420893314005,0.7071288246905965,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.8526548195832667,0.9949246758053966,0.7103849633611369,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.8351676595212271,0.9630375122141644,0.7072978068282897,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.8079553793458754,0.921274542800718,0.6946362158910327,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.7749860137274188,0.878081136264237,0.6718908911906006,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.7419797960619916,0.8406399366565246,0.6433196554674586,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.713351591823955,0.8113696950998079,0.6153334885481021,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.6939595799815467,0.7956183535503785,0.5923008064127149,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.6908974244782982,0.8031057475439141,0.5786891014126823,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.7106191195058588,0.840708203903158,0.5805300351085595,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.7548177357046005,0.9078906279477247,0.6017448434614764,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.8137670019544834,0.9917564948356188,0.635777509073348,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.871179380351897,1.0709968647064085,0.6713618959973855,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.9133857342941957,1.1278234370484956,0.6989480315398957,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9411371515787718,1.1651236326666075,0.7171506704909361,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.966491425911799,1.2000589401433994,0.7329239116801987,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9944368817178396,1.2352182672863385,0.7536554961493407,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.0176794978803057,1.2577966329289643,0.777562362831647,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.0186226662453608,1.253559387874406,0.7836859446163157,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.9887753726264461,1.2215508337729137,0.7559999114799785,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.9380447360937961,1.1681459197470672,0.7079435524405251,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.8869472240398331,1.1070659461532675,0.6668285019263986,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.8543200573810621,1.0604236821897635,0.6482164325723606,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.8456733949408608,1.0450921093577537,0.6462546805239681,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.8577009991935177,1.0600315831447351,0.6553704152423003,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.8824440048077663,1.0903191515042483,0.6745688581112843,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.9125727300628307,1.1246366536559966,0.7005088064696647,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.9457515795569942,1.1590591890101252,0.7324439701038632,PRT
Portugal,PRT,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.9807543589930995,1.187968438305649,0.77354027968055,PRT
