country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.8091438153091244,2.9589303632843715,0.9395148906159773,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.8154436483443912,2.8681715691126706,0.9686229402816422,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.7346157311281643,2.7319379776651673,0.9657540501629073,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.645068704897695,2.542692364413966,0.9262844345458254,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.5692475088099322,2.400177531555228,0.893078682030301,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.4751449666881682,2.2521681875689143,0.8601415683836139,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.4059201999479225,2.1381489366327213,0.825870944099417,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.3458065942989894,2.0210172286339527,0.7988376236486622,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.2898685327613642,1.9154793399661862,0.7715186286231166,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.216263942660237,1.794118269766194,0.7349952444271284,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.1423204460744794,1.7038223783005937,0.7006920119161757,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.086202420101462,1.6161461084427984,0.6557203423370972,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.0283577068930827,1.5396074709603829,0.6177409677531822,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.9970360281946008,1.4913381317136771,0.5958348043690433,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.9748315611898781,1.4797187577070183,0.5885805112264435,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.9796296534879798,1.4809000752037964,0.5771656904130626,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.9879210008868289,1.4869407241484067,0.5874273648044891,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.0116297001958352,1.5188882864395823,0.6015304464434034,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.032521232847779,1.5482688664667912,0.6238283813043293,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.0684773787803759,1.5860247914155499,0.646519202094848,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.104594860670118,1.6370080394633322,0.6734586497555805,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.1247001592926935,1.6536777395853726,0.6902776900720952,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.1317824728849728,1.6518804565768315,0.69638472866391,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.1127435537487147,1.622966032022735,0.6897049111963468,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.0755937183240187,1.5757058331601996,0.6671682752492544,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.0332278797624066,1.5214515975570524,0.6404339640831316,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.981873443974459,1.451331483505914,0.6067470484871611,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9275322320656605,1.3680390942689418,0.565031219819692,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.86829256536616,1.3048662027001183,0.5206057618474124,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.8090112684028807,1.2380439166998063,0.4730510317465844,PRY
Paraguay,PRY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.7619386447021064,1.1997561579332048,0.43530391263044066,PRY
