country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-04,3.109472098971517,4.052636885044431,2.289781015741156,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-05,3.031134552195125,3.9530286189934696,2.2525755665772045,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,2.8996838914075163,3.668244505809693,2.2032190518001786,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,2.6048293530386424,3.2421298036801716,2.0233700648418234,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,2.3268646718575186,2.8550136116597575,1.850545001334781,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,2.15475082184656,2.6131718902741894,1.748147934524178,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,2.102985564380263,2.5172055934421973,1.7164972748442384,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.088018035731552,2.4585570164414405,1.7480010597337308,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.1028188349863415,2.449686410466228,1.7813110501508063,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.1419549399754985,2.4594263656606965,1.845250222529666,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.178616156356071,2.473184487321368,1.904833109739111,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,2.2042785850632622,2.4732623882746174,1.9490101046895307,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,2.1860273006336475,2.427856864375255,1.955900411366747,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,2.136123099925348,2.357072277261866,1.9285396103213859,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,2.0746652355399484,2.2745373114203145,1.8882245276348442,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.9953253324649802,2.1719818154273516,1.8251052357289084,ROU
Romania,ROU,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.9069576716618066,2.0656939887921903,1.7548048047395968,ROU
