country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2939771459818772,1.9655868375452612,0.761326929018534,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.194908432155738,1.8132280673268855,0.7133529603436871,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0924840364271067,1.6706192588252826,0.6332427630342324,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.0082172552207798,1.575621373901702,0.5807077711724511,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9395097136193425,1.4738628770507527,0.5371897403223407,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.8920708074216732,1.4080218100901367,0.501890394499899,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.8518282404850906,1.355144676075779,0.4667919646313545,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.826452501120434,1.3108199981717243,0.44471771479575245,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8054130544207883,1.2868701682043557,0.4317455183457235,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7978510055451381,1.2925389739225672,0.42305834643957296,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7934459384545204,1.3117521859708359,0.41475948653124034,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8081914852901129,1.3547897668666216,0.40519782332034165,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.827424787367344,1.3623065842393136,0.40346054834468226,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.8363613706012358,1.4169506791843514,0.4059996801235661,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.8452144616590361,1.4162032043362909,0.405618084837063,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.8362786283470932,1.4248025470434473,0.39556962545443564,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,0.8293333251305246,1.4431651508150634,0.39886819491120196,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,0.8520189042784257,1.452864903635393,0.3969405311412667,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8495680225791984,1.4682632917561698,0.39715640467854063,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,0.8530060055093448,1.48515843875902,0.3965966393169554,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,0.881321372422527,1.5465885169219906,0.4044028984313001,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9643758872282688,1.6755195878593268,0.44550353263445464,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.1012562692893033,1.8951882416286274,0.5414626399175437,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.2703109323466466,2.110374008683519,0.661785107606053,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.4372133810161747,2.331027403558153,0.7841570408468008,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.5853830103487423,2.4877423827244094,0.8994461459722479,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.6958273178777916,2.5703463147250996,1.0040740682611697,RWA
Rwanda,RWA,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.8024474603029181,2.627702885590965,1.1019941659203107,RWA
