country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,2.9346211076112154,3.608107080532997,2.3298615000488856,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,2.8465241968583097,3.4244283883000866,2.3213690749828695,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,2.744569529606619,3.242090144594594,2.2879727292298093,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,2.615122822341702,3.0430098825110616,2.2192465623302002,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.474624254777909,2.870625656938275,2.078622852617543,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.328436891400359,2.7820141443564363,1.8748596384442813,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.1678894897454275,2.632586455790624,1.703192523700231,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.990898421562183,2.4236718127167314,1.5581250304076346,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.8127826045964297,2.203757919716016,1.421807289476843,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.656830939511018,2.002784701657942,1.3108771773640937,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.5318573741078918,1.8259140360738402,1.2378007121419434,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.4340578665847605,1.689611512928806,1.178504220240715,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.3521946735650272,1.6127267997230268,1.0916625474070276,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.2800016418424363,1.5668114582678272,0.9931918254170453,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.2200299067165894,1.515129455217784,0.9249303582153947,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.1777139258220484,1.4573137815590376,0.8981140700850593,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.155876817288636,1.4153135565307862,0.896440078046486,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.1562853414027032,1.402409786106814,0.9101608966985923,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.1798668106412986,1.4164660305193093,0.9432675907632879,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.222619792906171,1.4512736566640114,0.9939659291483307,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.277336121208578,1.5012498122954785,1.0534224301216777,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.3382652014354626,1.558784097627451,1.1177463052434742,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.4022109001066045,1.6184619480731284,1.1859598521400807,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.4647229773174044,1.6805107780278532,1.2489351766069556,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.5224491260345032,1.7445031329696996,1.3003951190993068,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.5761851159879048,1.8106435491328097,1.341726682843,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.6273019368427326,1.882875252924291,1.3717286207611743,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.6790241773786785,1.9563397818545623,1.4017085729027947,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.7325709249827475,2.0121229999025934,1.4530188500629015,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.784254396121014,2.0398359953673486,1.5286727968746794,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.8241693811952298,2.044878166698979,1.6034605956914807,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.8343747041128657,2.02671399983664,1.6420354083890911,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.8074425558203577,1.991726573033477,1.6231585386072385,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.7549957663537008,1.9647105312648174,1.5452810014425842,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.6939376929094334,1.9419401236639076,1.4459352621549593,SAU
Saudi Arabia,SAU,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.6303426835360386,1.893823571840272,1.3668617952318052,SAU
