country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.9840466568395732,3.0866894220153798,1.151488923138772,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.9545220522092586,2.9161753437633546,1.1365643856390881,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.8503544204912021,2.7197484742798856,1.1261043406798876,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.7300094582952759,2.51013246465622,1.091921735145669,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.6512174719558934,2.3630061739760997,1.0689219401801866,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.5860652040223626,2.2365429005575423,1.0538443569560134,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.5424295684021794,2.1564621448612873,1.0395497803490361,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.508873738283901,2.0668427855825016,1.0313165615190933,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.4561697485488312,1.997778115065139,1.0111674692812986,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.4055160483679099,1.9087781241174784,0.9847431510893891,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.3394308202093756,1.7989988705344897,0.9385922445444869,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.2475126110840309,1.68740230441843,0.8820660198160851,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.1642987510981468,1.5640708593631065,0.8136803269204077,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.08540552970978,1.461484785382813,0.7571408586183996,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.0144044745746668,1.3736481802611031,0.7071670391182406,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9554317146735528,1.2989683229481745,0.6622527152637554,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9056232050452552,1.248846120678535,0.6179465619423133,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.8709214488320538,1.2021142891974677,0.5919391466167215,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8506074493439285,1.1805630692744744,0.5693752710860729,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8276894927438763,1.1621941713045054,0.5496598621742886,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.8148915607066826,1.1513490526062364,0.534297955842171,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.816415570331471,1.1548766856619481,0.5371308325803296,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8362126766057981,1.2000025265364003,0.5460394225407054,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,0.876132016897437,1.2562588152204357,0.5730486106803526,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,0.9371659080353454,1.3242478169329548,0.6106902440395097,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,0.9992554413992655,1.3932925822140532,0.6535031187045984,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.0574329899740005,1.4812393623157665,0.705018621072028,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.12969801988114,1.5674862105673626,0.763375404068801,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.212849210420472,1.6687530875478263,0.8266970379812293,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.3077259609252379,1.7608182041893086,0.912619002376355,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.4345339041251628,1.909136350155262,1.0254838208614439,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.5865877457136526,2.0822656948041676,1.1665739926642256,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.772019039823042,2.244716390342167,1.3346623076645936,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.9213930443573333,2.412716692449464,1.4926982651344607,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,2.020753346230884,2.478012772174037,1.6069008640710547,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,2.0631943826720605,2.4956559525412767,1.666790201025861,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,2.056757915445488,2.45603830228338,1.6935393023470109,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,2.0146617074221562,2.378952359462355,1.683190877064295,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.941173020817126,2.267424970117367,1.6395810329303653,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.849803458464218,2.140666486986861,1.5768917475711781,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.7509439485219072,2.0145257220120873,1.5057106664477677,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.6512109723935011,1.8938551883385417,1.4269075449160946,SEN
Senegal,SEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,1.547957078227578,1.7696436695867286,1.3460166599444043,SEN
