country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-01-28,1.4839964365111014,2.5201101677886655,0.7197334027590917,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-01-29,1.451690604333261,2.423966855320254,0.7263395973992768,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-01-30,1.4373871694796545,2.3594211098547984,0.7416755702611245,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-01-31,1.4194950240693196,2.295689739488668,0.7518924714134391,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-01,1.3784883967244426,2.206352974986455,0.7434352001730282,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-02,1.313392562254122,2.090163665727734,0.715320995057619,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-03,1.2369629809119527,1.964209055007383,0.6762277333912097,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-04,1.1571114972959562,1.8394300673521196,0.6313899449074439,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-05,1.0701047527304697,1.7113434667050007,0.5779467038737662,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-06,0.9714357849366386,1.5737563466911029,0.5130207703318989,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-07,0.8698148184649978,1.4371121718971904,0.44360769616882423,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-08,0.777846936640901,1.317427251837407,0.37912504252618917,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-09,0.7033144004713209,1.2251443356750198,0.32501423594764095,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-10,0.6420762610004133,1.1551205987250255,0.2783887929192886,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-11,0.5885956065294738,1.0998299478572984,0.2358554632640169,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-12,0.548647387843771,1.067241147133038,0.20122651951652198,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-13,0.5353624305728756,1.077043072843256,0.18156572669259807,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-14,0.5613133965525617,1.1494731775658273,0.18236394048405846,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-15,0.6286898505788623,1.2887601321960132,0.20374376382939663,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-16,0.7344132655154462,1.4881388263779183,0.244818190911018,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-17,0.8722445182798425,1.73240553707836,0.3049286431196166,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-18,1.0389781512347616,2.007753776193081,0.3867802058488913,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-19,1.2338641942249213,2.302945552497004,0.49561806139601355,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-20,1.4445506268896338,2.5924043886297934,0.6294481543058943,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-21,1.6442727065938583,2.8356039959666384,0.7746514576978377,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-22,1.7994855598164308,2.990094567430684,0.9083627414649289,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-23,1.8852312496035868,3.032119437016707,1.008227667396632,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-24,1.9002895319613393,2.9726359442439674,1.0654750968532127,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-25,1.865548635438446,2.8496917462209073,1.0877616404533101,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,1.8107775581200702,2.7080250448390077,1.092217045554462,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,1.7642809551569856,2.585534175040236,1.0983101943169802,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,1.7406395055072093,2.499614936897706,1.1175197731781195,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,1.7387480824409378,2.446817192232593,1.1503027262070677,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,1.7456311249584526,2.409300977948745,1.1876963852140818,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,1.7587143954440745,2.382253581693271,1.2287173441743702,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,1.7849355404129923,2.372656285256119,1.2798962704538992,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.824904290332337,2.3803736670966047,1.3423780701806918,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.861493616172286,2.385163909654471,1.401963174001213,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.8754758682158943,2.3651888994077868,1.4418899255658815,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.863771031959245,2.31773033340313,1.458693172929261,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,1.8377722633096645,2.256592381101857,1.461420891539353,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,1.8051157370604503,2.191039971635673,1.4561192781702976,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,1.7630205404443617,2.118307346329794,1.4399439240623413,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,1.706933871225203,2.0334282363443648,1.4086565105173967,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,1.6373329377897257,1.936915524180869,1.3626051036629674,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,1.5571516018099567,1.8319580682317556,1.2957857731796536,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.4691677745647846,1.7215049641193831,1.2232446588389942,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.3781237314661041,1.6105270978807773,1.161419665435482,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.2912303526594873,1.506577366624488,1.0922820907404758,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.2192660340979662,1.421004365656952,1.0327774555396605,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.1697771588933719,1.361616410319952,0.9923203059994945,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.143301640289059,1.3285893379800957,0.9690219997695432,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.132066852937075,1.316082440279298,0.9480512655948518,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.13393880260744,1.3306532768611812,0.9372243283536987,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.1573693067577087,1.3624960618866486,0.9522425516287688,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.2113844456855005,1.4217736776398915,1.0009952137311096,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.2950405981421238,1.517980296258467,1.0721009000257806,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3982760270094632,1.6393021825576857,1.1572498714612407,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.511487282991206,1.763707125333055,1.2592674406493571,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.6255206840829002,1.8860328001068463,1.365008568058954,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.7314992869965784,2.0136763088693845,1.4493222651237725,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.8311020000420473,2.137525186948504,1.5246788131355906,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.931134988222562,2.246811106612989,1.6154588698321346,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,2.0299860432927392,2.3533190223054046,1.7066530642800737,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,2.112854896184366,2.463064879224294,1.7626449131444377,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,2.1704688984270795,2.5393574659396827,1.8015803309144762,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,2.2053099700854975,2.559934204333133,1.8506857358378621,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,2.220183868557408,2.5482796570362893,1.8920880800785262,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,2.201640812269159,2.50867712386824,1.8946045006700776,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,2.1373324026349203,2.4191796333817397,1.855485171888101,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,2.03483117048967,2.289763176836591,1.7798991641427493,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.9181325321767206,2.163485059222119,1.6727800051313224,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.8003284743641568,2.0476573408009506,1.5529996079273627,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.6783266259285583,1.9177817689250953,1.4388714829320213,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.5484891739095956,1.7668574030321555,1.3301209447870357,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.4151639592625234,1.6135704931706505,1.2167574253543962,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.290737495042621,1.4806582606581007,1.1008167294271411,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.1833049856329274,1.3709112462119246,0.9956987250539302,SGP
Singapore,SGP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.0937989315270908,1.2769153457740656,0.9106825172801161,SGP
