country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,2.2373237779232156,3.4609670377217094,1.2779266629612804,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,2.050752126672825,3.102359202847347,1.214577936278985,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.8640853923020944,2.773946877427026,1.1331798514299123,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.6808063008877034,2.4742990951006885,1.039118192065179,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.5236781060700253,2.225923347038901,0.9531168270306807,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.412824039779212,2.048790940843626,0.8937806097384551,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.3443484435173594,1.9342226249936474,0.8606208628086636,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.3045892897241915,1.8621216182480005,0.8451787355854539,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.2862927831596818,1.8207646189276063,0.8436731769345959,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.289983278834653,1.8085437828257729,0.8580705995394085,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.3082855843758445,1.8150925316563804,0.8835292624879365,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.3307573487414734,1.8268770213033807,0.9123599130189147,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,1.3588262314518365,1.8447596254839507,0.9463370263163128,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,1.396395103543627,1.8728422545088153,0.9890852627040794,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,1.4377002188566412,1.904150296959006,1.036030431995249,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,1.4705056986705947,1.9244317018841643,1.076929205968395,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,1.4854818627586637,1.9232178747348176,1.103608897423608,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.4817402147015988,1.900182985468901,1.1147238402364188,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.4618524206911319,1.8591765224024719,1.111725531436037,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.4313838268273853,1.807317863558037,1.0987610033795703,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.3965011896985398,1.7520820722721335,1.0807658406423224,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.3615408456979878,1.6985556300073192,1.0613446840004934,SLE
Sierra Leone,SLE,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.3253057825650807,1.6453956861247547,1.0394213268890766,SLE
