country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,2.0610762408882013,2.665113735767484,1.5354757554755207,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,2.1024409825911836,2.6840588657892184,1.5960867343379497,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,2.1582761171576026,2.6960228608232186,1.6882966116540712,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,2.2640140869459406,2.7631845889541795,1.8123210041401578,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,2.37407167743474,2.8309074196316115,1.949190858470378,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,2.3548835332852143,2.7819917993414807,1.9583329050028906,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,2.2924230223778004,2.6661310880141844,1.9454816148609317,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,2.2083236129203887,2.5331322576385222,1.897991151096874,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,2.1343615705722634,2.424601785085863,1.8627069992311616,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,2.0834166318264606,2.3470554165295847,1.8332072747604218,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,2.0447673889043965,2.286015311986758,1.8168683605180456,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,2.015681434445562,2.2373332827357717,1.8027799432522211,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.9736295796512358,2.175370005969955,1.7834640030453408,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.9078142411510999,2.0905103913455174,1.734161529026306,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.8242244967982935,1.9898088950648962,1.6666369843135636,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.7265220986864502,1.8752990379705523,1.5848836838521023,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.6332832712271854,1.76984032298172,1.5022533689909066,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.5512861686833828,1.6747409515662746,1.4324956597305722,SRB
Serbia,SRB,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.4886916017335987,1.6043773048299195,1.3781951574188263,SRB
