country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.8208318068863434,2.5893509940636807,1.052312619709006,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.5264369042469963,2.239313864612207,0.8135599438817859,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.302565048661645,1.9622531002693857,0.642876997053904,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.0878502800844476,1.6958748221474322,0.4798257380214629,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.883611951128993,1.429002647740686,0.3382212545173,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7132257929157495,1.1942334526616623,0.2322181331698368,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.5837605656588541,1.0361033168230607,0.13141781449464762,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.477824179560283,0.9668691154869186,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.38789644497446296,0.9642557285525097,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.3218724885824573,1.0106174848495733,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.3016772385824165,1.0919193573869628,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.35182434671754265,1.1979480626554768,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.49936396559730356,1.364153018805269,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.7748503504013026,1.6939860519183698,0,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.1992049104896656,2.253875114195227,0.1445347067841043,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.7351503536350994,2.9483987816217234,0.5219019256484754,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,2.2683155246605677,3.5826113184162267,0.9540197309049088,STP
Sao Tome and Principe,STP,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,2.592505667015203,3.8903172337261265,1.2946941003042798,STP
