country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.38879863799067477,1.9689989322500325,3.392459675298993e-4,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.3597297969785651,2.018678322214428,5.57333541653308e-5,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.3421303393533383,2.1153830479810902,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.32701713777175573,2.2327992741806466,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.2978668386051098,2.294553019500201,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.24909569519341065,2.223280792688806,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.19609139678713555,2.019254944509443,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.16414072579669287,1.8376078326985084,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.16463874693281302,1.8832359719585032,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.1998081712985908,2.2879594884341428,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.2636929654074414,3.0192152111750046,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.35085830680348484,4.017055711891088,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.4594354066128639,5.260133426412255,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.5797782382042111,6.637953555142885,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.6967144983148665,7.976771420971849,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.7961584464929443,9.115317619930098,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.8710852976077714,9.97316450855055,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.9222498313905085,10.558953654366546,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9547146458587206,10.930647375199888,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.9742733913682845,11.154577898517694,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.985643652520559,11.284757440392907,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,0.9920930460653232,11.35859735363557,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,0.9956883741711227,11.399760714743634,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,0.9976673978016616,11.422418803782532,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.9987462322086222,11.434770513824766,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.9993298118771299,11.441451990430853,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.9996434741708891,11.445043149258101,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9998111410276902,11.446962788069708,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.999900338962354,11.447984026378595,0,SUR
Suriname,SUR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.9999475905729479,11.44852501597748,0,SUR
