country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-02-27,4.167057283763486,4.996901492599576,3.411633672494737,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-02-28,3.9711733735372947,4.65164417051093,3.3386211048498575,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-02-29,3.5334985363667957,4.08257068979346,3.023194289098518,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-01,3.1369701434136594,3.5671058152858466,2.7320242883931054,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-02,2.726164444556892,3.0714950538387225,2.401956651001296,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-03,2.3624847357021856,2.6440894344427175,2.09808552341671,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-04,2.0489471677057045,2.284760579473543,1.8294542343155447,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-05,1.8035511986389627,2.0016249031465336,1.6156631259406933,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-06,1.6104326633507844,1.7820603340321022,1.4470998967643773,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-07,1.4750752680161938,1.6274915533820222,1.3293153630210963,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-08,1.363953819148144,1.5036558508804476,1.2298982435462686,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-09,1.2726040042869267,1.4023485286129316,1.1514607976168911,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-10,1.2108122378184296,1.333223350362922,1.0940436684948394,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-11,1.183607418507172,1.3011032262178892,1.0738485322083895,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-12,1.1963184864297958,1.3105683256951786,1.086893930975294,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-13,1.2359648862066432,1.3505092121765039,1.1283435708210934,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,1.2939997330538395,1.4090496613037122,1.1833287605937612,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,1.359881525728319,1.474737240026304,1.2498318602802299,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4278768563585325,1.542917410003006,1.3157093183071322,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,1.4893345566543137,1.6037099968084434,1.38031877514299,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5419379499015933,1.6522282740660408,1.4350380288132756,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.5765144199980687,1.6841620842685578,1.472374670935966,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,1.5944359217281205,1.6978573643696326,1.4950563316158751,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,1.5936110412786166,1.6910948850344556,1.4985093689012274,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,1.566729790742583,1.6579385494257908,1.4767879223885791,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,1.521087628213776,1.6069423561881826,1.4380486243426724,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.4653962419819122,1.5456142061829754,1.3874083118533609,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.4147913247890362,1.490073479234071,1.341275386395502,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.3662582787796458,1.437629597612355,1.2966797180509304,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.3184070101255396,1.3851140223731921,1.2526277159758266,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.2690244572019684,1.3328280707626132,1.2069997297803778,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.2189801463074177,1.2793465888316615,1.1598098335654194,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.168349923292766,1.225583325524614,1.1119331476461662,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.1206081623116897,1.1759751672427077,1.0664954803782825,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.0795177312733033,1.132587707043837,1.0274464857561008,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.0483326036516747,1.0999361714708085,0.9979522044838903,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.0284500336215174,1.0791268672477883,0.9789756065441846,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.0181414378888427,1.0682700459610754,0.968661171672787,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.0132349679825026,1.0632002912180694,0.9644337639398899,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.0082267444326032,1.05782659190784,0.9597209731596262,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.0030543468380293,1.0527473856186516,0.9545802521061879,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.005493273364946,1.0549762058209209,0.9571829684665581,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.0168578413298104,1.0662503090932152,0.9686210094510412,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.0361518281637885,1.0858873843944699,0.9877655058810515,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.056666402048886,1.1076968914175993,1.0069245163113834,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.0721750431825932,1.1228838037922082,1.0224854164923798,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.0767832145945757,1.1272771224979028,1.027430752719571,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0781771300168876,1.128375120811508,1.0294521263482697,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,1.0742682884275185,1.123847640118194,1.0253838570410587,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,1.0662428992452568,1.1156963423909259,1.0178954383207592,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,1.0552266982931675,1.1039506593592237,1.0074998946775835,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,1.0384310640240475,1.0867686327706316,0.9911783426053891,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,1.0168753364991083,1.0641534874396124,0.9705185054518964,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9894883291513855,1.0355635479902832,0.9444475317736672,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9615753681970992,1.0070308277934144,0.9174010974181876,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.9404906943511357,0.9856400806554378,0.8965409415535067,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.9324917084867911,0.9774226252930259,0.8884927509705056,SWE
Sweden,SWE,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-24,0.9351091792196773,0.9804830996620328,0.8907957830144624,SWE
