country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.9599065047364804,2.172982989433904,0.23888301608706483,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.0183379642156192,2.2712620694783787,0.26437250468597356,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.0827500715936254,2.3765995532205295,0.2938567851920875,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.144813873083399,2.47036774048507,0.32534165089957046,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.21401022962201,2.563571373616912,0.36513855055149347,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.2832687799467637,2.6452281140881184,0.41022169935811764,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.3236323523540094,2.6740117739264404,0.4444444488578733,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.310341070138935,2.6169405954830665,0.4521762996108358,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.2465469269808434,2.483630810501852,0.4325749057377098,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.15411271875269,2.3115723798614876,0.3955627943623046,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.0459829345948706,2.124201823767083,0.34680633429960406,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9247309731224194,1.9271158297331934,0.2876407295830027,SYR
Syrian Arab Republic,SYR,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.7987659766353763,1.7320052052179877,0.2240775342639282,SYR
