country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,1.7047821577508055,3.8061177294720836,0.4413269917814201,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,1.7707628702468017,3.781589910765757,0.5172392371653334,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,1.7801897764864054,3.6647753927975835,0.5709062622049585,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,1.710841012200313,3.4350997449213523,0.5829542083692937,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,1.5795406881747531,3.1283677434000605,0.5558404238793505,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,1.4317421408772961,2.8178433616639236,0.5112429343232755,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.297864610175559,2.5499268839340217,0.4652960492503042,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.1861586346105226,2.3348572620434065,0.42340309485740674,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,1.087457964795328,2.155866181849034,0.3818095885726229,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9998633679991791,2.00628969513217,0.34121145514437,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.936191568994529,1.9018021144501234,0.3101799034262287,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9117449177034574,1.863222241636425,0.297725775639267,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.9443748955937238,1.9148631897229913,0.3143014948043212,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.0526764211903967,2.078967213179756,0.37289305756374924,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.2531760183953757,2.3683743069361975,0.49002649509472723,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.5392963457553615,2.7564402841282374,0.6736721015399539,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.8718777500874328,3.1705908721561338,0.9122410603809159,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,2.192926506453417,3.5223249006464332,1.1754830859081058,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,2.4464663187001507,3.7433359873995493,1.4226064841533559,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,2.6117200107155907,3.8249280346102195,1.627508624013141,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,2.697947770237172,3.799255233578166,1.7830767255834123,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,2.72069022555665,3.700977004340605,1.889528468575233,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,2.68926665207017,3.550515662657203,1.9462758731335459,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,2.5745107001272767,3.355303760462575,1.7937176397919787,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,2.3706020963480894,3.104137365430162,1.637066827266017,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,2.1232133741146275,2.783898427014826,1.462528321214429,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,1.890809864173087,2.51882608125183,1.2627936470943442,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,1.6989788237778805,2.352264877978208,1.045692769577553,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,1.5398662878234777,2.2836827935482713,0.7960497820986842,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,1.4008885610019264,2.265893887574043,0.5358832344298098,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,1.2829182627110667,2.1962825211295423,0.3695540042925912,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,1.1897901624977414,2.0298648808880193,0.3497154441074636,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,1.1215916413430367,1.8192718710273346,0.4239114116587388,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,1.0708212434237374,1.648432972704129,0.493209514143346,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,1.0277831141341842,1.5452567709749223,0.5103094572934461,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.9895983005475123,1.4862854015509366,0.49291119954408813,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.9593630219418184,1.4625791363268839,0.4561469075567529,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.9433792819589898,1.4785340337062767,0.4082245302117028,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.9430856239670161,1.49538921928307,0.39078202865096223,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.9513498590515532,1.4723374376925826,0.4303622804105238,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.9546346858326031,1.4154176344860245,0.4938517371791818,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.9423863005224741,1.3535198947409415,0.5312527063040067,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.9153881235040672,1.29783348441833,0.5329427625898044,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.880965982015877,1.2397565897057206,0.5221753743260333,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.8472086690029718,1.1752296520991952,0.5191876859067484,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.8194924324363452,1.1157133857396273,0.523271479133063,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.8001014829524457,1.0682039289906373,0.5319990369142541,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.7860023720609425,1.029829409410122,0.542175334711763,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.7700350261342388,0.997056669219623,0.5430133830488546,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.7476470331825087,0.973284044723254,0.5220100216417634,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,0.7200153168415413,0.9571285207950705,0.4829021128880121,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,0.6923949505170376,0.9392023768217479,0.4455875242123273,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,0.6677449992150636,0.9162956585630382,0.419194339867089,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-23,0.6446771728392401,0.8886024579217442,0.400751887756736,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-24,0.6180735400901178,0.8618260401168679,0.38182072634546815,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-25,0.5850540361158929,0.8336676628613039,0.3570830745226988,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-26,0.5482315330940648,0.8017142362481309,0.32588219470134494,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-27,0.5111564701669451,0.7703500983522165,0.29044664822928534,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-28,0.4733167265175094,0.7391776799013203,0.2551436018597417,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-29,0.4313357844739412,0.7040268984418075,0.21840042942069304,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-30,0.386398433071003,0.6662015247181633,0.17940772200000543,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-05-31,0.3452688407241848,0.6346827449988388,0.14235473563950482,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-01,0.315822471137186,0.6213739983019227,0.10930502837188458,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-02,0.30099058013644503,0.6328797880415222,0.07340810328227801,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-03,0.30119863337386704,0.6729098542292098,0.031123632195179773,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-04,0.31794723878125236,0.7469405313650705,0,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-05,0.3531481740639208,0.8608973849456094,0,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-06,0.4039716311195003,1.0120512527650778,0,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-07,0.46687532901940343,1.194222004160832,0,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-08,0.5458313406321543,1.411102897735644,0.06637831493800461,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-09,0.6486230417102986,1.6707137886880268,0.1064387280624746,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-10,0.7713615285121581,1.9594756499711588,0.13299086953089995,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-11,0.8929377282845644,2.2334900946717555,0.16243634437332,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-12,0.9821186792426915,2.4333490491246574,0.18450466332003357,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-13,1.016878948818126,2.52005731677332,0.19088588261676276,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-14,1.0037478708571592,2.508415480660144,0.18315242896307873,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-15,0.9759877794733797,2.461963352570166,0.17244283828528245,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-16,0.9619906922029619,2.4367571858226555,0.1675269312314464,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-17,0.9694797174050603,2.450662307697171,0.1700524256697836,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-18,0.9875207833677282,2.485590101170388,0.17581359790315665,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-19,0.9997057475312963,2.5115929854621397,0.17912733102506717,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-20,0.995060789551808,2.507924263652557,0.17633653979386857,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-21,0.9729878041998195,2.473090117251298,0.16741317582509238,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-22,0.94241222592884,2.4235832344067214,0.15553964511852936,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-23,0.914339745655598,2.380465086111269,0.14431527292213117,TCD
Chad,TCD,OWID,Confirmed cases,Cori_slidingWindow,2020-06-24,0.8985112804474147,2.362293108008051,0.1367567786566941,TCD
