country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.8167121135324822,2.1631774841988465,0,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.867115975796914,2.284538043677739,0.13094482476161523,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9463191451374289,2.453418385623523,0,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.0700078051432436,2.6876310807121726,0,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.2908815741273303,3.0583052035542515,0.1544533638746568,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.6654669957670623,3.624921380456999,0.46250423637323307,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,2.177181271128509,4.3168337824134335,0.7314134732067916,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,2.744930223723463,4.97602199325263,1.1517486650753102,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,3.269633673053729,5.457940135375901,1.6367745252818642,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,3.6486277674957215,5.6651644679016835,2.0712895080499227,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,3.81236017690761,5.572474905411262,2.3827768909209825,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,3.727932410643655,5.1971383823484185,2.5001108450686496,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,3.447308494621872,4.637115264797526,2.4318859867768237,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,3.0771652580901376,4.038410174257721,2.1159203419225543,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,2.71688045831993,3.786735958621212,1.6470249580186482,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,2.3830199898209474,3.430583617131091,1.3354563625108038,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,2.057915316536386,2.950315762321299,1.1655148707514726,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,1.7445311692459133,2.4824591623830647,1.0066031761087622,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.482994493380879,2.110785800564483,0.8552031861972748,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.3044881447973293,1.8390269629580511,0.7699493266366076,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.2026162405288834,1.6498388828759007,0.7553935981818661,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.1447612272105567,1.5393660164427982,0.7501564379783152,TZA
Tanzania,TZA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0952224857338566,1.4857842106378538,0.7046607608298594,TZA
