country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.6664282721329325,1.256281319343912,0.1665256156224088,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.5492432184131772,1.099229106925045,0.005731947796477899,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.46087308847399455,1.019997415801221,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.39385410897365525,0.9266108002302605,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.34536880813043563,0.8789547231954565,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.3132174504805369,0.8742960850611258,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.2947630006504875,0.9024318643555054,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.289729263512844,0.9673192907482768,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.30041252995372725,1.0789292140028008,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.3362256984886205,1.2634468932514042,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.43374263667365254,1.6051937023764677,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6659787468723061,2.246982168173702,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,1.109014367266792,3.2784310297334747,0.10337592537704834,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,1.728029911179527,4.52156407648632,0.2677298337784304,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,2.324113310382501,5.5112834933525985,0.5032285605000255,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,2.691067764334122,5.882675889115917,0.7385592473434557,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,2.73808411739833,5.618081889161189,0.8853138467981673,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,2.5206886171202774,4.954787359525086,0.9026956118716597,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,2.1897200331023785,4.1922965601172155,0.7725351275709096,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.8871409118887674,3.548332714702136,0.2525156462572793,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.6501498898024571,3.396313331962782,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.470213200007159,3.095144304864939,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.334255418594211,2.6968749169746324,0,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.2259935397345234,2.323742360172779,0.1282447192962679,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.1215401696800351,2.0640014922576335,0.2268282513976445,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.0153691424122568,1.893856199743339,0.24683077856822844,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.933705125539235,1.7668020447359447,0.18513189834644572,UGA
Uganda,UGA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.8997864486322583,1.7213138024823436,0.07825909478217319,UGA
