country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-14,3.5111050209939347,4.684623675272534,2.5048463683780726,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-15,3.652671116281581,4.661157403988787,2.7222855456309554,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-16,3.6046580788729217,4.468551042676227,2.822926342389193,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-17,3.440249311336931,4.161795182834354,2.767913757362763,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,3.2439756306483956,3.854846354814631,2.6895643598586636,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,3.044689856714256,3.557317038619909,2.573265417615545,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,2.841416558683181,3.271826726682062,2.444166781933776,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,2.607231182182373,2.9652171926509556,2.270342539735781,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,2.3428884475824874,2.641970734317072,2.0630515381354275,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,2.0882470941654723,2.3402928047449025,1.8530854300315023,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,1.889770637772891,2.1031815831307448,1.683442790557263,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,1.7330539693859621,1.9245015315719787,1.5559980758825784,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,1.6400630226571296,1.810806954689978,1.4770412416176788,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,1.575614909304,1.7335580086862505,1.42515884406286,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,1.528761554147437,1.6760864655144865,1.388125106701989,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,1.4958789942856925,1.6335113925898137,1.3642241541568763,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,1.4856348136973865,1.6164328386800855,1.360282549161024,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,1.4819772272429785,1.6079375853652933,1.3611946491792482,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.4904582815700682,1.611414844626045,1.374158479925662,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.4945465481962026,1.6098920601279805,1.3833649311151759,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.4957012249078114,1.6066922801380992,1.388894571244386,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.504921978894004,1.6125001618344843,1.4007261112840639,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.510787408052925,1.6118049061197945,1.4117858308741533,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.4959783963977198,1.5920813523011734,1.4028976924243102,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.4635434068600401,1.5551466342393012,1.3747961613861224,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.42084167849784,1.5067032183186635,1.3373967140612677,UKR
Ukraine,UKR,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.3766799515724089,1.457510024843244,1.2978170854225195,UKR
