country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.425420043477352,1.6635001262456794,1.1945392268392248,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.2689219733762716,1.495484147456843,1.0500739025833803,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.154751381431784,1.370186176883386,0.9475302862152475,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.070340611924345,1.2718863416111899,0.8753415793562246,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.0036071592268654,1.1941912250491293,0.8204471891756782,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,0.9405651204595973,1.1321715980544949,0.7737754677611139,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,0.9003439516571244,1.0806491480925007,0.7337007683473453,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,0.8570358784521042,1.036913223906368,0.6985452958710607,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,0.827204347259051,1.0001500117219335,0.6671411230626896,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,0.800302882138952,0.9712095899489486,0.6395350052286288,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,0.7762837681303328,0.9493106564449278,0.6159452777468029,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,0.7566553992914984,0.9304499586372161,0.5954986832790643,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,0.7373804314737292,0.9100724747159492,0.5788252819565056,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7239476577720719,0.8875437668423681,0.5648370127661843,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.7109544060798375,0.8643601593548678,0.5537466585333477,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.6996491202912576,0.8438284117245649,0.5467199708784545,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.6773574179305515,0.8302730085176038,0.5441627285078887,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.6888571271073878,0.8282381447873884,0.5470388460215178,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.702113216656635,0.8403277206246211,0.5530693894820593,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.7130981409815188,0.8673203138125634,0.562400186421862,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.7496246804715312,0.9076659617483964,0.5786362496231905,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.7830432226535698,0.9639968945388313,0.6029496483188392,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.83987371014493,1.037615899156209,0.6360489783607648,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.8973370443505728,1.121161242828672,0.6799694771773046,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9737711295232491,1.2053418498695425,0.7360395604538591,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,1.0281512180332757,1.2777742626196567,0.7989534990934707,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.085261788339359,1.3239743672174595,0.8605858880675082,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.12539348562037,1.3389170760123044,0.9128771067491638,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.1343665030876298,1.3315927377315315,0.9483037135561876,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.1405348659268408,1.312072196511424,0.9658007717730157,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.1352358828345421,1.287349834702957,0.9654681841637835,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.1092289194863154,1.2608995812515715,0.9486699470081477,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.0712737128868304,1.233038059575061,0.9161853988962503,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.0300015741383348,1.2023557917121002,0.8702881350180229,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.99327457526477,1.1688167735319315,0.8163804784135551,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.950506505785041,1.1328937700915283,0.7642490877352253,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9006654442084566,1.0965880183385963,0.7224002228380947,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.8690296742206438,1.0639026436114873,0.6935547251968788,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.8505664896687484,1.0386793339320373,0.6781766369942784,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.8435438999081608,1.0227086834322854,0.6703069516638382,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.8375664985737408,1.0146836709989695,0.6645310734879298,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.8234839816408845,1.009452111355958,0.6597783895400775,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.8230893580378583,1.0043837353308867,0.6569185642034789,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.8293641860033931,0.999571980507495,0.6565666499533762,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.8368080704848546,0.9973054257558999,0.6576632516847373,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.8306489630194229,0.9989243952528966,0.6589077574290847,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.839969434017634,1.002714719555351,0.6603972467657611,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.8344565476112491,1.0064629151535702,0.6602925828598029,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.8328929092929913,1.0097766190498891,0.6580228600326138,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.8359797675575995,1.0155326829905742,0.6547053286269948,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.8318180637482214,1.0282948240311358,0.6540117390781053,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.8430839861475035,1.0516906939780537,0.6601965292009073,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.8829654178976889,1.0887685181900166,0.6738475997904027,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.9220703679199744,1.137166984885242,0.6953640074900436,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.9654028291865876,1.1924972182280917,0.72220242911498,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.9984664659512644,1.2481874999083251,0.7529464372052949,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,1.0433943811130948,1.2957786305649384,0.7888990525747289,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,1.0844119672844543,1.3359644995392652,0.8272484083170473,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,1.1109270081986233,1.3684661191932825,0.8591044209780007,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,1.1290752967581978,1.391423223375824,0.8780998880682318,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,1.1273595848259579,1.3962591669104032,0.8800849631994418,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,1.1088921287877602,1.3727992410211247,0.8671721259751914,URY
Uruguay,URY,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,1.0698859758059458,1.320932093734613,0.8428848061867744,URY
