country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-01-30,0.2523065643817071,1.014626861934376,0.0021711405095767924,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-01-31,0.21202250731340772,1.1432115360563397,4.8767465494804714e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-01,0.2672973381490828,1.3910081889088866,1.0993143873998454e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-02,0.30738396830252007,1.5519723524640094,2.8056074941610324e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-03,0.31426092249259063,1.690027532705945,3.748821171509568e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-04,0.311678587088544,1.9261974069790115,4.17465506330759e-6,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-05,0.4221102226291761,2.276845817493049,1.9514675554339814e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-06,0.4954199014458447,2.8545478618418665,1.4819378634355144e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-07,0.5918961285905188,3.4164838867117613,5.8101843828133465e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-08,0.7485326481054358,3.550504910041561,3.081539771531753e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-09,0.6807903288210209,3.856494766634874,1.7160534396152817e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-10,0.6993612292459357,4.089784338086027,5.568821955553763e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-11,0.683572589261361,4.16421388936882,1.6859545602539465e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-12,0.7456074326713578,4.517335781836236,5.825481820799702e-5,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-13,0.8954215358594055,5.257147395881756,2.535575298648939e-4,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-14,1.2774314533827966,6.101800209506209,0.0016010036254952473,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-15,1.8626752600811267,8.018514276265908,0.016785402392324435,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-16,2.907403687026739,9.2900512367388,0.13094911841466322,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-17,4.692338994769114,11.957391859925886,0.7490535042876605,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-18,7.471549249939463,15.115281516375848,2.437722676073939,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-19,10.138268334034247,16.99509422343778,4.837619883415672,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-20,10.93855043733224,16.372752282760416,6.649719534507916,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-21,10.13573736056941,13.756212079532702,7.089906949579493,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-22,8.767967869140584,11.11507640961742,6.669576114620021,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-23,7.380789857048474,8.977677630252808,5.944624599102457,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-24,6.231783120663965,7.315188401857669,5.235989990481189,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-25,5.2548588673775,6.035016483639423,4.529478885019305,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,4.452825924228375,5.008040283086219,3.929843431642908,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,3.7967554025330865,4.219118347332023,3.399183091130785,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,3.3043900555861465,3.6267158031470292,2.99403859567606,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,3.0103325630173545,3.271953471993007,2.758574502848611,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,2.899481800507847,3.1211561634390934,2.683599967377363,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,2.9190658038675923,3.114068010540889,2.7299099232977704,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,3.0597188983311208,3.2384187730782767,2.8876471529553545,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,3.3116564873762124,3.4725267612527237,3.152867482541967,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,3.6056577396076888,3.753585884040185,3.46117161266112,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,3.879432997029784,4.010455661965691,3.750212655835075,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,4.082334222322641,4.198503418118692,3.967772728173169,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,4.161266970974413,4.260254428610311,4.063124204508281,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,4.093704184210181,4.1760002586370275,4.012215952351781,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,3.8929285619363165,3.9602471905005396,3.826179142094979,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,3.6085875580070486,3.663136477080562,3.5545344844977795,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,3.2875100755703186,3.331811917627394,3.243500689691851,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,2.9716672693077686,3.007710644244946,2.935838193483666,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,2.6883509070199225,2.718084261731505,2.6587788388821196,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,2.45234959971482,2.4773558411771535,2.427468468828197,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,2.2631176201824657,2.284420580379181,2.2418459772144383,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,2.111837680543475,2.130390864424609,2.0933645272127195,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.987561916302691,2.0039374984943286,1.9712525967042123,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.8802309556043733,1.8948603658357237,1.8656574613013055,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.7827242616702683,1.795870986110309,1.769625172701642,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.693516755756396,1.7054678149319848,1.6816003085234321,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.6094076134925617,1.6202994745750317,1.5985519806182804,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.5277951443143725,1.5378138031876256,1.5178087783747012,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.4492044116730447,1.4584509259836538,1.439986898673366,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.3739251770515661,1.3825113935568647,1.3653573722757941,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.3024859435016753,1.31049694526989,1.2944991654491798,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.2323204645386507,1.239855979776052,1.2248076035669593,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.164457099409674,1.1715668397422527,1.157368701007887,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.100328590506782,1.1070781734946402,1.0936003825805312,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,1.0419058425946666,1.0483544138080767,1.0354768928016107,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.991776919728159,0.9980009878437226,0.9855720536880114,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.9516165495086506,0.9576633196364657,0.9455886671948123,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.9214078426905429,0.9273636801445548,0.9154709289856199,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.9008905423895999,0.9067975424419553,0.8950025800831787,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.890014535669478,0.8959265514290071,0.8841218222253355,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.8883945093766566,0.8943645234261336,0.882444213365189,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.8948139037658769,0.9008662538973828,0.888778610343912,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.9085936561961381,0.9147726365660941,0.9024353279931664,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.9293299978336288,0.9356532434769288,0.9230278973565973,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.9540640724608915,0.960532316794324,0.9476173808155576,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.97927911395655,0.9858838254195813,0.9726937335042856,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,1.000460942464851,1.0071726761305029,0.9937713392657002,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.014823906358372,1.021619141975331,1.0080510343728453,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.0220694712952774,1.0288847114821278,1.0152765674391828,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.023832050139382,1.0306494037752312,1.0170345695534901,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.0219345904061896,1.02872734074578,1.0151640323822824,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.016626622996736,1.0233914770462824,1.0098838942005182,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.0081272078335661,1.014838483498871,1.0014378919014308,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.9975741760109523,1.0042511137815735,0.990919203383136,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.9849968914007886,0.991627340756344,0.9783883785528665,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9719304104312815,0.9785030868718666,0.9653785444028845,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9594408968333816,0.965982789386065,0.952920926599267,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.950177905490936,0.9567084542930386,0.943669415429621,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.9435820122749077,0.9501123652055424,0.937077043982186,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.9383489309225962,0.9448836125192793,0.9318366134246494,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.93265595967874,0.9392205215872507,0.9261080689635489,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.9259453297495934,0.9325210149460078,0.9193902324868741,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.9185710650417268,0.9251665268744333,0.9119988733255111,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.9119869787575892,0.9186179992433967,0.9053796487410887,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.9070673212484138,0.9137222348045103,0.9004363978376412,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.905482027247423,0.9121970681725474,0.8987914537430001,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.9073969744552466,0.9141923613206466,0.9006265902506536,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.9125359303493048,0.9194200167900496,0.9056773583537853,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.9200018260868046,0.9269912973561346,0.9130345866114618,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.9303217779145958,0.9374119317089332,0.9232581704908696,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.9439292690835991,0.9511278990543317,0.9367576094392127,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.9600252546177903,0.967349880848581,0.9527280828853584,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.9774186503133973,0.9848620992997531,0.9700016119047915,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.9926216095477955,1.0001508468126028,0.9851204300384642,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,1.002336531898013,1.0099406982687655,0.9947607071089365,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,1.0045361752583497,1.0121292280021872,0.9969674732031314,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.9993989324387719,1.0069861665126103,0.9918399967314195,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.9905132134107054,0.9980812212106328,0.9829736126381516,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.980558711983043,0.9880865233962809,0.9730592914592207,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.9720534961043822,0.9795454851896231,0.9645898739789702,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.9651603837555218,0.9726262094262969,0.9577229280592996,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.959801312404005,0.9672675895089904,0.9523635665178121,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.9557043868279603,0.9631770065690218,0.9482604687547675,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.9544078772176828,0.9619203142601914,0.9469244871888244,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.9572926379704157,0.9648411766459486,0.9497621121142359,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,0.9647847878075301,0.9724127809929626,0.9571864194945325,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,0.9752965006258344,0.9829900286876275,0.9676327841166664,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,0.9857402196043398,0.9934995586019266,0.9780108833336754,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-23,0.9939538387436614,1.0017739283417713,0.9861639717461419,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-24,0.9984066871738282,1.0062588051623333,0.9905849040025017,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-25,0.9991883444172058,1.007050443468449,0.9913566335029768,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-26,0.9984411592578393,1.00630235823366,0.990610364123127,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-27,0.9970252765875424,1.0048825993566135,0.98919837070934,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-28,0.9957715167886675,1.0036285460340821,0.9879449403125499,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-29,0.9959929140700307,1.0038691179891703,0.9881473046737802,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-30,0.9970493429537532,1.004907987686384,0.9892211245965327,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-05-31,0.9996272696690124,1.0074985516030055,0.9917864334400412,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-01,1.0054866115852297,1.0133953857426947,0.9976083948755957,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-02,1.0170587639747546,1.0250102087021837,1.009137856585562,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-03,1.0353198508536443,1.0433446601880871,1.0273262660285176,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-04,1.0595704543328985,1.0676740708855577,1.0514972851124058,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-05,1.0878533186556336,1.0960363924571639,1.0797004868662132,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-06,1.117702733607181,1.1259613508799902,1.109474098625945,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-07,1.1474777257504756,1.1557710397507766,1.139216948205204,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-08,1.17572252727581,1.1840261410328619,1.1674501823796894,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-09,1.2023969695139656,1.2106791618743966,1.194142813784548,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-10,1.2276724812997974,1.2359071578772214,1.219464952362443,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-11,1.2501570336741488,1.2582939226569239,1.242046177203117,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-12,1.2679543030956495,1.2759814239921574,1.2599521636561812,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-13,1.2789057160244617,1.2867889943522823,1.2710463274936454,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-14,1.2839286269342094,1.2916345107331475,1.2762454823714566,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-15,1.2846125545271057,1.292119642815065,1.277127037542422,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-16,1.2814413363173578,1.288739443471856,1.2741636681285853,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-17,1.2736499906829941,1.2807360251719218,1.2665873862789157,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-18,1.2609561181170992,1.2678151627022323,1.2541148619596043,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-19,1.242715260654279,1.249351612731784,1.2360963386839543,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-20,1.221084970608486,1.2275016926161808,1.214684833452589,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-21,1.1979032676221848,1.2041089185572076,1.191713429162246,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-22,1.175930746751626,1.181942584709051,1.1699340267895584,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-23,1.158613179722525,1.164474267760061,1.1527666761632351,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-24,1.146761592455486,1.1524864685028104,1.1410507751381374,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-25,1.1393026299862148,1.1449083523353167,1.1337104759688543,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-26,1.1342618854702033,1.139778413908231,1.128756767407344,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-27,1.131102290784293,1.1365371848677877,1.1256802438650766,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-28,1.1300359520917407,1.1353949650988275,1.124689442184714,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-29,1.1308150429716555,1.1361049077795133,1.1255373526783896,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-06-30,1.1330742830881702,1.1382979357040968,1.1278600966993044,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-01,1.1357042511493702,1.1408664085013038,1.1305536384161845,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-02,1.1366620253777462,1.1417711262148027,1.131570594470601,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-03,1.133095716107628,1.138120465380972,1.1280819308135066,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-04,1.123581978412046,1.1285201504817892,1.1186598628894653,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-05,1.109180475105481,1.1140197355658963,1.1043516037245422,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-06,1.0915505102166598,1.0962961777125781,1.0868149952751291,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-07,1.072889219905639,1.0775341127966946,1.0682542222238143,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-08,1.0547101776150674,1.0592735080658635,1.0501565625430076,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-09,1.0372418258615808,1.0417305467672517,1.0327626635500131,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-10,1.020506041190071,1.0249359445211628,1.0160856002067995,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-11,1.0049350286697036,1.009307485147582,1.0005719335064476,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-12,0.9918152359532307,0.9961442134393351,0.987495555851531,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-13,0.982427274297581,0.9867342821524623,0.9781283175869433,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-14,0.977300691157487,0.981594990356847,0.9730156767258333,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-15,0.975597285703658,0.9798972879336713,0.9713066091114197,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-16,0.9750783350910839,0.9793881126967343,0.9707779305009957,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-17,0.972897253048753,0.9772112659095938,0.9685926526226016,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-18,0.967156241956351,0.9714731103979998,0.9628488542238715,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-19,0.9581882111419415,0.9624933115839313,0.9538926279021743,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-20,0.9468995923773201,0.9511935895067386,0.9426151761011502,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-21,0.9351509301571228,0.9394377672517011,0.9308737617238545,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-22,0.9249653897230183,0.9292522994479397,0.9206882552173151,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-23,0.9167974936116282,0.9210909048167439,0.9125139744164674,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-24,0.9101652563775952,0.9144782314784918,0.905866187816799,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-25,0.9041230683998259,0.9084537669770765,0.8998025749529064,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-26,0.8999005440658551,0.9042627424140453,0.8955487481340887,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-27,0.8996786546943435,0.9040807895352858,0.8952871159882111,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-28,0.9047792825890265,0.9092489381472322,0.9003204888768515,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-29,0.9157922779899345,0.9203298991042119,0.9112657168597253,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-30,0.9308955126232007,0.9355235337995728,0.92627880974656,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-07-31,0.9467397543955877,0.951452106029996,0.942038940878915,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-01,0.9592066424366885,0.9639893184814733,0.9544356969348425,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-02,0.9660224548428769,0.9708511171568098,0.9612056653018107,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-03,0.9671026762462238,0.9719563668517377,0.9622609682935362,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-04,0.9630093328364764,0.9678691986135248,0.9581615311203163,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-05,0.9549444008747379,0.959806502557619,0.9500944760673876,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-06,0.9441820811511683,0.9490318210184775,0.9393420000116776,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-07,0.9310360326906888,0.9358759884326807,0.9262084523520728,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-08,0.9162350483673668,0.9210616706262608,0.9114209318080716,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-09,0.901492053594981,0.9063162607975093,0.8966805433736512,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-10,0.8899104928692625,0.8947414789620282,0.8850924046837569,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-11,0.884582490188158,0.8894436839585718,0.8797344343579204,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-12,0.8870075964527375,0.8919318380332125,0.8820960272178634,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-13,0.8965618481035217,0.901576770114319,0.8915607206246537,USA
United States,USA,OWID,Confirmed cases,Cori_slidingWindow,2020-08-14,0.9116193879935632,0.9167397532655235,0.9065131657439777,USA
