country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.4757263072643325,1.6892469982864617,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.3886088388326327,1.5902762567656739,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.31497440976316116,1.5243047941193528,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.26000248386074865,1.462023990224774,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.2386968453087906,1.4731996699926453,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.26215417852584866,1.5935995653487665,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.3416844611907111,2.046910917378047,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.49733426624317834,2.801338429477828,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.7509316681915269,3.8805034933349907,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,1.0947639417330275,5.161696641979226,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,1.4575152093229613,6.314179249278262,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.7291714980677457,6.968956118412535,0.021386576388265823,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.8365923227293535,6.994814677980686,0.03647299403734325,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.7778949552925674,6.527891056597639,0.04657534245088246,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,1.618506977272699,5.837847392751225,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,1.4345062009350467,5.152470771909361,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,1.2635212544330654,4.569247889638779,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,1.109901845458878,4.091394108706674,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9684094709372922,3.6938007451804706,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.8390226545664791,3.362843377269972,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.7240074547337152,3.093861463338542,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.6248045728318575,2.884249993502418,0,VCT
St. Vincent and the Grenadines,VCT,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.5401871536470679,2.7272796760247,0,VCT
