country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2087903969833154,1.7008756330547437,0.8019914981686064,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-19,1.0549422930848655,1.4907185267703569,0.6908863167304606,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-20,0.9167866905892564,1.3183313107293195,0.5897917408361338,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-21,0.800612676300919,1.1791100134979566,0.500653963616966,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-22,0.6971653604971044,1.0548359023778622,0.41837261690699995,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-23,0.6229386811521332,0.9656658748892698,0.3545817259826679,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-24,0.5725238067403154,0.9276436684511933,0.3125892456090952,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-25,0.5660750101825403,0.9341458953233049,0.2916977747057706,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-26,0.5792728827955418,0.9726898278652608,0.2944809735989891,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-27,0.6165308993269598,1.0363707611856297,0.30421811791510955,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-28,0.6691453451495201,1.1243475530304086,0.32286319801438323,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-29,0.7267954560344992,1.223978011000924,0.3608508310790896,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-30,0.8108691342921389,1.3641157926391003,0.4024457307904725,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-03-31,0.9205067194533113,1.5105673832706152,0.4666708399508085,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-01,1.0369872518891166,1.7183332798673496,0.5519048544901997,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-02,1.1988348565261044,1.924222235561939,0.6467951487755916,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-03,1.357404458795841,2.118177855325873,0.7586649870115129,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-04,1.4871773111238893,2.27384493582065,0.873761467714118,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-05,1.5811317478717748,2.3725584429306217,0.9496995579709674,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-06,1.6539476486577411,2.4088422064805735,1.0434733814474744,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-07,1.7036813044955283,2.4049929547386784,1.102290065861892,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-08,1.6915933916647627,2.3718646606740563,1.1362224317191651,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-09,1.6582961313443785,2.294890052619766,1.1310148691457913,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-10,1.586383053410256,2.1695995580664484,1.0946216312930617,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-11,1.474187001917203,2.0070278801621066,1.0319271946496187,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-12,1.350191924797163,1.8346519837019175,0.9359163022755148,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-13,1.2169105792408983,1.6531118185153493,0.8408182379443323,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0873952058877605,1.4793891607844,0.7424516852561371,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-15,0.960183838254971,1.3349915101595966,0.6556573887431838,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-16,0.8476670010904875,1.193234793801521,0.5667444540037937,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-17,0.7521955658433443,1.0724043406928918,0.4867484609804649,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-18,0.6734909237027619,0.9799236272814884,0.41903509824294327,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-19,0.6242947438931231,0.9262489760973306,0.3743607012546037,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-20,0.5921920555015114,0.9090170971808637,0.34669313162851517,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-21,0.5892825805491942,0.9166475950298778,0.3315568695542482,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-22,0.6047927350057126,0.9603445580800961,0.3356841127034002,VEN
"Venezuela, RB",VEN,ECDC,Confirmed cases,Cori_slidingWindow,2020-04-23,0.6591347568068584,1.046963317340958,0.3561821623601609,VEN
